名前,pokeID,dexID,育て方,ブースト,種族値,ランク,実数値
シビシラス,670,429,最速,スカーフ,60,0,184
クマシュン,681,438,準速,ゆきかき,40,2,184
コマタナ,693,445,最速,スカーフ,60,0,184
ワシボン,696,447,最速,スカーフ,60,0,184
バルチャイ,699,450,最速,スカーフ,60,0,184
メラルバ,706,455,最速,スカーフ,60,0,184
フォッコ,730,467,最速,スカーフ,60,0,184
ケロマツ,733,470,準速,スカーフ,71,0,184
ニンフィア,780,495,最速,スカーフ,60,0,184
ヌメイル(原種),785,500,最速,スカーフ,60,0,184
ヌメルゴン(ヒスイのすがた),788,503,最速,スカーフ,60,0,184
ジュナイパー(ヒスイのすがた),817,518,最速,スカーフ,60,0,184
ガオガエン,820,521,最速,スカーフ,60,0,184
アシレーヌ,823,524,最速,スカーフ,60,0,184
ドデカバシ,826,527,最速,スカーフ,60,0,184
イワンコ,840,541,最速,スカーフ,60,0,184
イワンコ,840,541,最速,ふくつのこころ,60,1,184
ヤレユータン,864,559,最速,スカーフ,60,0,184
サダイジャ,947,594,準速,スカーフ,71,0,184
オーロンゲ,965,608,最速,スカーフ,60,0,184
レジエレキ,1004,636,最遅,,200,0,184
パモ,1037,667,最速,スカーフ,60,0,184
アノクサ,1066,693,最速,スカーフ,60,0,184
キラーメ,1090,716,最速,スカーフ,60,0,184
リキキリン,1104,730,最速,スカーフ,60,0,184
テツノブジン,1131,755,最速,,116,0,184
ペルシアン(原種),63,36,最速,,115,0,183
ペルシアン(アローラのすがた),64,37,最速,,115,0,183
マンキー,67,40,準速,スカーフ,70,0,183
ニョロボン,75,48,準速,スカーフ,70,0,183
ウツボット,84,51,準速,スカーフ,70,0,183
メノクラゲ,85,52,準速,スカーフ,70,0,183
レアコイル,102,65,準速,スカーフ,70,0,183
ジュゴン,108,69,準速,スカーフ,70,0,183
パルシェン,114,75,準速,スカーフ,70,0,183
ハクリュー,183,122,準速,スカーフ,70,0,183
ヨルノズク,200,139,準速,スカーフ,70,0,183
ニョロトノ,222,154,準速,スカーフ,70,0,183
ニューラ(原種),254,181,最速,,115,0,183
ニューラ(ヒスイのすがた),255,182,最速,,115,0,183
エアームド,268,190,準速,スカーフ,70,0,183
カポエラー,278,200,準速,スカーフ,70,0,183
カポエラー,278,200,準速,ふくつのこころ,70,1,183
キモリ,293,207,準速,スカーフ,70,0,183
グラエナ,303,217,準速,スカーフ,70,0,183
グラエナ,303,217,準速,はやあし,70,1,183
ルンパッパ,315,220,準速,スカーフ,70,0,183
キノガッサ,329,232,準速,スカーフ,70,0,183
ビブラーバ,372,255,準速,スカーフ,70,0,183
メタグロス,419,283,準速,スカーフ,70,0,183
レントラー,451,303,準速,スカーフ,70,0,183
ミツハニー,463,308,準速,スカーフ,70,0,183
フローゼル,467,312,最速,,115,0,183
エテボース,472,315,最速,,115,0,183
フワンテ,473,316,準速,スカーフ,70,0,183
アグノム,535,365,最速,,115,0,183
ダイケンキ(原種),560,385,準速,スカーフ,70,0,183
ゾロア(ヒスイのすがた),637,410,準速,スカーフ,70,0,183
チラチーノ,641,414,最速,,115,0,183
キリキザン,694,446,準速,スカーフ,70,0,183
ブロスター,773,494,最速,スカーフ,59,0,183
フーパ(いましめられしフーパ),811,513,準速,スカーフ,70,0,183
ボルケニオン,813,514,準速,スカーフ,70,0,183
ジュナイパー(原種),816,517,準速,スカーフ,70,0,183
ニャビー,818,519,準速,スカーフ,70,0,183
メッソン,919,577,準速,スカーフ,70,0,183
アップリュー,944,591,準速,スカーフ,70,0,183
ポットデス,959,602,準速,スカーフ,70,0,183
ギモー,964,607,準速,スカーフ,70,0,183
イシヘンジン,978,616,準速,スカーフ,70,0,183
カイデン,1060,687,準速,スカーフ,70,0,183
ノノクラゲ,1068,695,準速,スカーフ,70,0,183
ミガルーサ,1097,723,準速,スカーフ,70,0,183
チオンジェン,1126,750,準速,スカーフ,70,0,183
ヤバソチャ,1140,762,準速,スカーフ,70,0,183
サンダース,167,111,準速,,130,0,182
ミュウツー,185,124,準速,,130,0,182
ムゲンダイナ(通常),998,631,準速,,130,0,182
レイスポス,1007,639,準速,,130,0,182
カメール,7,7,最速,スカーフ,58,0,181
アリゲイツ,195,134,最速,スカーフ,58,0,181
ズガイドス,454,304,最速,スカーフ,58,0,181
ラムパルド,455,305,最速,スカーフ,58,0,181
ジャローダ,554,379,最速,,113,0,181
ズルズキン,625,408,最速,スカーフ,58,0,181
ジヘッド,704,453,最速,スカーフ,58,0,181
ヒバニー,916,574,準速,スカーフ,69,0,181
カヌチャン,1077,704,最速,スカーフ,58,0,181
ナゾノクサ,49,26,最速,ようりょくそ,30,2,180
ヒマナッツ,227,159,最速,ようりょくそ,30,2,180
キマワリ,228,160,最速,ようりょくそ,30,2,180
マグカルゴ,259,186,最速,くだけるよろい,30,2,180
ハスボー,313,218,最速,すいすい,30,2,180
タネボー,316,221,最速,ようりょくそ,30,2,180
モグリュー,587,389,準速,スカーフ,68,0,180
チュリネ,606,399,最速,ようりょくそ,30,2,180
メロエッタ(ステップフォルム),724,463,準速,,128,0,180
ゴーゴート,751,485,準速,スカーフ,68,0,180
ニャスパー,755,486,準速,スカーフ,68,0,180
ルガルガン(まひるのすがた),841,542,最速,,112,0,180
ザマゼンタ(たてのおう),997,630,準速,,128,0,180
ハカドッグ,1093,719,準速,スカーフ,68,0,180
シェイミ(スカイフォルム),549,375,準速,,127,0,179
トルネロス(けしんフォルム),711,457,最速,,111,0,179
ボルトロス(けしんフォルム),713,459,最速,,111,0,179
イッカネズミ(3びきかぞく),1041,671,最速,,111,0,179
イッカネズミ(4ひきかぞく),1042,672,最速,,111,0,179
サケブシッポ,1109,734,最速,,111,0,179
ライチュウ(原種),27,12,最速,,110,0,178
ライチュウ(アローラのすがた),28,13,最速,,110,0,178
ダグトリオ(アローラのすがた),59,34,最速,,110,0,178
ドードリオ,106,67,最速,,110,0,178
ゲンガー,117,78,最速,,110,0,178
スリーパー,120,80,準速,スカーフ,67,0,178
ケンタロス(原種),157,101,最速,,110,0,178
チョンチー,206,142,準速,スカーフ,67,0,178
ランターン,207,143,準速,スカーフ,67,0,178
ワタッコ,225,157,最速,,110,0,178
エーフィ,233,164,最速,,110,0,178
ユキメノコ,526,356,最速,,110,0,178
ゾロアーク(ヒスイのすがた),639,412,最速,,110,0,178
キバゴ,678,435,最速,スカーフ,57,0,178
オノンド,679,436,準速,スカーフ,67,0,178
ハリボーグ,728,465,最速,スカーフ,57,0,178
ファイアロー,741,475,準速,,126,0,178
ルガルガン(たそがれのすがた),843,544,最速,,110,0,178
ココガラ,924,582,最速,スカーフ,57,0,178
アーマーガア,926,584,準速,スカーフ,67,0,178
タギングル,1065,692,最速,,110,0,178
テツノドクガ,1118,743,最速,,110,0,178
オーガポン(みどりのめん),1144,766,最速,,110,0,178
オーガポン(いどのめん),1145,767,最速,,110,0,178
オーガポン(かまどのめん),1146,768,最速,,110,0,178
オーガポン(いしずえのめん),1147,769,最速,,110,0,178
キュウコン(アローラのすがた),44,23,最速,,109,0,177
ドダイトス,435,289,最速,スカーフ,56,0,177
ケイコウオ,504,338,準速,スカーフ,66,0,177
マニューラ,509,342,準速,,125,0,177
モンメン,604,397,準速,スカーフ,66,0,177
オーロット,791,506,最速,スカーフ,56,0,177
サシカマス,949,596,準速,スカーフ,66,0,177
ラウドボーン,1026,656,準速,スカーフ,66,0,177
タイカイデン,1061,688,準速,,125,0,177
ウネルミナモ,1136,758,最速,,109,0,177
ゴウカザル,438,292,最速,,108,0,176
デンチュラ,664,428,最速,,108,0,176
アブリボン,839,540,準速,,124,0,176
テツノコウベ,1117,742,最速,,108,0,176
ヒトカゲ,3,3,準速,スカーフ,65,0,175
アーボ,24,9,最速,スカーフ,55,0,175
サンドパン(原種),31,16,準速,スカーフ,65,0,175
サンドパン(アローラのすがた),32,17,準速,スカーフ,65,0,175
ロコン(原種),41,20,準速,スカーフ,65,0,175
ロコン(アローラのすがた),42,21,準速,スカーフ,65,0,175
コダック,65,38,最速,スカーフ,55,0,175
ガーディ(ヒスイのすがた),70,43,最速,スカーフ,55,0,175
ウツドン,83,50,最速,スカーフ,55,0,175
ナッシー(原種),128,86,最速,スカーフ,55,0,175
イーブイ,165,109,最速,スカーフ,55,0,175
シャワーズ,166,110,準速,スカーフ,65,0,175
ブースター,168,112,準速,スカーフ,65,0,175
ヒノアラシ,190,129,準速,スカーフ,65,0,175
デンリュウ,217,149,最速,スカーフ,55,0,175
ブラッキー,234,165,準速,スカーフ,65,0,175
ハッサム,251,179,準速,スカーフ,65,0,175
リングマ,257,184,最速,スカーフ,55,0,175
リングマ,257,184,最速,はやあし,55,1,175
デルビル,269,191,準速,スカーフ,65,0,175
ハピナス,283,203,最速,スカーフ,55,0,175
ワカシャモ,297,211,最速,スカーフ,55,0,175
ワカシャモ,297,211,最速,かそく,55,1,175
ペリッパー,322,225,準速,スカーフ,65,0,175
アメタマ,326,229,準速,スカーフ,65,0,175
マルノーム,360,248,最速,スカーフ,55,0,175
ノクタス,375,258,最速,スカーフ,55,0,175
ハブネーク,379,262,準速,スカーフ,65,0,175
シザリガー,385,266,最速,スカーフ,55,0,175
ジュペッタ,397,270,準速,スカーフ,65,0,175
チリーン,401,274,準速,スカーフ,65,0,175
コロトック,448,300,準速,スカーフ,65,0,175
グレイシア,519,349,準速,スカーフ,65,0,175
チャオブー,556,381,最速,スカーフ,55,0,175
エンブオー,557,382,準速,スカーフ,65,0,175
メグロコ,612,404,準速,スカーフ,65,0,175
ゾロア(原種),636,409,準速,スカーフ,65,0,175
ゴチミル,643,416,最速,スカーフ,55,0,175
ゴチルゼル,644,417,準速,スカーフ,65,0,175
コアルヒー,648,421,最速,スカーフ,55,0,175
ママンボウ,662,427,準速,スカーフ,65,0,175
ランプラー,676,433,最速,スカーフ,55,0,175
コジョフー,688,441,準速,スカーフ,65,0,175
ゴルーグ,692,444,最速,スカーフ,55,0,175
ウォーグル(ヒスイのすがた),698,449,準速,スカーフ,65,0,175
オンバット,803,510,最速,スカーフ,55,0,175
オンバーン,804,511,準速,,123,0,175
ツツケラ,824,525,準速,スカーフ,65,0,175
ネッコアラ,875,564,準速,スカーフ,65,0,175
ジャランゴ,883,568,準速,スカーフ,65,0,175
マギアナ,904,570,準速,スカーフ,65,0,175
サルノリ,913,571,準速,スカーフ,65,0,175
モスノウ,977,615,準速,スカーフ,65,0,175
アヤシシ,1011,641,準速,スカーフ,65,0,175
ニャオハ,1021,651,準速,スカーフ,65,0,175
マスカーニャ,1023,653,準速,,123,0,175
ウェルカモ,1028,658,準速,スカーフ,65,0,175
パフュートン(オスのすがた),1031,661,準速,スカーフ,65,0,175
パフュートン(メスのすがた),1032,662,準速,スカーフ,65,0,175
パピモッチ,1043,673,準速,スカーフ,65,0,175
ミミズズ,1089,715,準速,スカーフ,65,0,175
ノココッチ(ふたふしフォルム),1105,731,最速,スカーフ,55,0,175
ノココッチ(ふたふしフォルム),1105,731,最速,びびり,55,1,175
アラブルタケ,1110,735,最速,スカーフ,55,0,175
アラブルタケ,1110,735,最速,こだいかっせい,55,1,175
セビエ,1120,745,最速,スカーフ,55,0,175
ブリガロン,729,466,準速,スカーフ,64,0,174
ゲッコウガ(通常),735,472,準速,,122,0,174
マホイップ,973,611,準速,スカーフ,64,0,174
ヘイラッシャ,1098,724,準速,合体,35,2,174
トルネロス(れいじゅうフォルム),712,458,準速,,121,0,173
カエンジシ,746,480,最速,,106,0,173
ラブトロス(けしんフォルム),1019,649,最速,,106,0,173
モトトカゲ,1088,714,準速,,121,0,173
テツノワダチ,1114,739,最速,,106,0,173
マシマシラ,1142,764,最速,,106,0,173
ダグトリオ(原種),58,33,準速,,120,0,172
ストライク,152,98,最速,,105,0,172
エレブー,154,99,最速,,105,0,172
ジュカイン,295,209,準速,,120,0,172
ムウマージ,477,318,最速,,105,0,172
パルキア(オリジンフォルム),539,369,準速,,120,0,172
アルセウス,550,376,準速,,120,0,172
ツタージャ,552,377,準速,スカーフ,63,0,172
ドレディア(ヒスイのすがた),608,401,最速,,105,0,172
ゾロアーク(原種),638,411,最速,,105,0,172
フリージオ,683,440,最速,,105,0,172
コジョンド,689,442,最速,,105,0,172
マケンカニ,832,533,準速,スカーフ,63,0,172
メテノ(コア),874,563,準速,,120,0,172
インテレオン,921,579,準速,,120,0,172
ザルード,1003,635,最速,,105,0,172
オオニューラ,1017,647,準速,,120,0,172
パーモット,1039,669,最速,,105,0,172
クエスパトラ,1076,703,最速,,105,0,172
ウミトリオ,1081,708,準速,,120,0,172
マフォクシー,732,469,最速,,104,0,171
ヤヤコマ,739,473,準速,スカーフ,62,0,171
フラエッテ,748,482,最速,スカーフ,52,0,171
メェークル,750,484,最速,スカーフ,52,0,171
ニャオニクス(オスのすがた),756,487,最速,,104,0,171
ニャオニクス(メスのすがた),757,488,最速,,104,0,171
フクスロー,815,516,最速,スカーフ,52,0,171
アママイコ,861,556,準速,スカーフ,62,0,171
エースバーン,918,576,準速,,119,0,171
ガチグマ(あかつき),1014,644,最速,スカーフ,52,0,171
セゴール,1121,746,準速,スカーフ,62,0,171
トドロクツキ,1130,754,準速,,119,0,171
テツノイサハ,1137,759,最速,,104,0,171
マルマイン(原種),125,83,無振,,150,0,170
マルマイン(ヒスイのすがた),126,84,無振,,150,0,170
ルチャブル,781,496,準速,,118,0,170
サナギラス,288,205,最速,スカーフ,51,0,169
バンギラス,289,206,準速,スカーフ,61,0,169
トロピウス,400,273,最速,スカーフ,51,0,169
ヒコザル,436,290,準速,スカーフ,61,0,169
ガブリアス,493,330,最速,,102,0,169
エンニュート,857,554,準速,,117,0,169
ドロンチ,992,625,最速,,102,0,169
オラチフ,1062,689,最速,スカーフ,51,0,169
フシギソウ,1,1,準速,スカーフ,60,0,168
ピクシー,40,19,準速,スカーフ,60,0,168
ラフレシア,51,28,最速,スカーフ,50,0,168
ガーディ(原種),69,42,準速,スカーフ,60,0,168
ベトベトン(原種),111,72,最速,スカーフ,50,0,168
ベトベトン(アローラのすがた),112,73,最速,スカーフ,50,0,168
マタドガス(原種),137,91,準速,スカーフ,60,0,168
マタドガス(ガラルのすがた),138,92,準速,スカーフ,60,0,168
ラッキー,141,95,最速,スカーフ,50,0,168
タッツー,144,96,準速,スカーフ,60,0,168
ラプラス,163,107,準速,スカーフ,60,0,168
ミニリュウ,182,121,最速,スカーフ,50,0,168
ベイリーフ,188,127,準速,スカーフ,60,0,168
ホーホー,199,138,最速,スカーフ,50,0,168
ピチュー,208,144,準速,スカーフ,60,0,168
キレイハナ,218,150,最速,スカーフ,50,0,168
マリルリ,220,152,最速,スカーフ,50,0,168
ハネッコ,223,155,最速,スカーフ,50,0,168
ウリムー,260,187,最速,スカーフ,50,0,168
イノムー,261,188,最速,スカーフ,50,0,168
ドンファン,273,195,最速,スカーフ,50,0,168
ポリゴン2,274,196,準速,スカーフ,60,0,168
ヌマクロー,300,214,最速,スカーフ,50,0,168
ラグラージ,301,215,準速,スカーフ,60,0,168
ハスブレロ,314,219,最速,スカーフ,50,0,168
コノハナ,317,222,準速,スカーフ,60,0,168
キルリア,324,227,最速,スカーフ,50,0,168
ハリテヤマ,340,237,最速,スカーフ,50,0,168
ヤミラミ,345,240,最速,スカーフ,50,0,168
アサナン,350,241,準速,スカーフ,60,0,168
バネブー,368,252,準速,スカーフ,60,0,168
チルット,376,259,最速,スカーフ,50,0,168
ドジョッチ,382,263,準速,スカーフ,60,0,168
ナマズン,383,264,準速,スカーフ,60,0,168
ユキワラシ,404,275,最速,スカーフ,50,0,168
タツベイ,414,278,最速,スカーフ,50,0,168
コモルー,415,279,最速,スカーフ,50,0,168
メタング,418,282,最速,スカーフ,50,0,168
ポッタイシ,440,294,最速,スカーフ,50,0,168
エンペルト,441,295,準速,スカーフ,60,0,168
ムックル,442,296,準速,スカーフ,60,0,168
ルクシオ,450,302,準速,スカーフ,60,0,168
リオル,495,332,準速,スカーフ,60,0,168
リオル,495,332,準速,ふくつのこころ,60,1,168
グレッグル,501,336,最速,スカーフ,50,0,168
ユキノオー,508,341,準速,スカーフ,60,0,168
ジバコイル,510,343,準速,スカーフ,60,0,168
フタチマル,559,384,準速,スカーフ,60,0,168
ゼブライカ,581,388,準速,,116,0,168
エルフーン,605,398,準速,,116,0,168
シビシラス,670,429,準速,スカーフ,60,0,168
シビルドン,672,431,最速,スカーフ,50,0,168
ツンベアー,682,439,最速,スカーフ,50,0,168
コマタナ,693,445,準速,スカーフ,60,0,168
ワシボン,696,447,準速,スカーフ,60,0,168
バルチャイ,699,450,準速,スカーフ,60,0,168
メラルバ,706,455,準速,スカーフ,60,0,168
ボルトロス(れいじゅうフォルム),714,460,最速,,101,0,168
ランドロス(けしんフォルム),717,461,最速,,101,0,168
フォッコ,730,467,準速,スカーフ,60,0,168
ニンフィア,780,495,準速,スカーフ,60,0,168
デデンネ,782,497,最速,,101,0,168
メレシー,783,498,最速,スカーフ,50,0,168
ヌメイル(原種),785,500,準速,スカーフ,60,0,168
ヌメルゴン(ヒスイのすがた),788,503,準速,スカーフ,60,0,168
ディアンシー,810,512,最速,スカーフ,50,0,168
ジュナイパー(ヒスイのすがた),817,518,準速,スカーフ,60,0,168
ガオガエン,820,521,準速,スカーフ,60,0,168
オシャマリ,822,523,最速,スカーフ,50,0,168
アシレーヌ,823,524,準速,スカーフ,60,0,168
ドデカバシ,826,527,準速,スカーフ,60,0,168
イワンコ,840,541,準速,スカーフ,60,0,168
イワンコ,840,541,準速,ふくつのこころ,60,1,168
ヤレユータン,864,559,準速,スカーフ,60,0,168
トロッゴン,941,588,最速,スカーフ,50,0,168
ヤバチャ,958,601,最速,スカーフ,50,0,168
ベロバー,963,606,最速,スカーフ,50,0,168
オーロンゲ,965,608,準速,スカーフ,60,0,168
ニャイキング,967,609,最速,スカーフ,50,0,168
コオリッポ(アイスフェイス),979,617,最速,スカーフ,50,0,168
ザシアン(けんのおう),995,628,無振,,148,0,168
ガチグマ(通常),1013,643,最速,スカーフ,50,0,168
クワッス,1027,657,最速,スカーフ,50,0,168
パモ,1037,667,準速,スカーフ,60,0,168
アノクサ,1066,693,準速,スカーフ,60,0,168
カプサイジ,1071,698,最速,スカーフ,50,0,168
キラーメ,1090,716,準速,スカーフ,60,0,168
リキキリン,1104,730,準速,スカーフ,60,0,168
ドドゲザン,1107,732,最速,スカーフ,50,0,168
スナノケガワ,1113,738,最速,,101,0,168
テツノカイナ,1116,741,最速,スカーフ,50,0,168
テツノカイナ,1116,741,最速,クォークチャージ,50,1,168
テツノブジン,1131,755,準速,,116,0,168
チャデス,1139,761,最速,スカーフ,50,0,168
リザードン,5,5,最速,,100,0,167
キュウコン(原種),43,22,最速,,100,0,167
ペルシアン(原種),63,36,準速,,115,0,167
ペルシアン(アローラのすがた),64,37,準速,,115,0,167
ドククラゲ,86,53,最速,,100,0,167
ビリリダマ(原種),123,81,最速,,100,0,167
ビリリダマ(ヒスイのすがた),124,82,最速,,100,0,167
ケンタロス(パルデアのすがた(コンバット)),158,102,最速,,100,0,167
ケンタロス(パルデアのすがた(ブレイズ)),159,103,最速,,100,0,167
ケンタロス(パルデアのすがた(ウォーター)),160,104,最速,,100,0,167
サンダー(原種),178,117,最速,,100,0,167
サンダー(ガラルのすがた),179,118,最速,,100,0,167
ミュウ,186,125,最速,,100,0,167
バクフーン(原種),192,131,最速,,100,0,167
ニューラ(原種),254,181,準速,,115,0,167
ニューラ(ヒスイのすがた),255,182,準速,,115,0,167
ケッキング,332,235,最速,,100,0,167
フライゴン,373,256,最速,,100,0,167
ボーマンダ,416,280,最速,,100,0,167
ムクホーク,444,298,最速,,100,0,167
フローゼル,467,312,準速,,115,0,167
エテボース,472,315,準速,,115,0,167
アグノム,535,365,準速,,115,0,167
パルキア(通常),538,368,最速,,100,0,167
シェイミ(ランドフォルム),548,374,最速,,100,0,167
チラチーノ,641,414,準速,,115,0,167
ウルガモス,707,456,最速,,100,0,167
キュワワー,863,558,最速,,100,0,167
リククラゲ,1069,696,最速,,100,0,167
イルカマン(マイティフォルム),1085,711,最速,,100,0,167
イーユイ,1129,753,最速,,100,0,167
ブロスター,773,494,準速,スカーフ,59,0,166
テブリム,961,604,最速,スカーフ,49,0,166
アチゲータ,1025,655,最速,スカーフ,49,0,166
キチキギス,1143,765,最速,,99,0,166
カメール,7,7,準速,スカーフ,58,0,165
メタモン,164,108,最速,スカーフ,48,0,165
アリゲイツ,195,134,準速,スカーフ,58,0,165
ズガイドス,454,304,準速,スカーフ,58,0,165
ラムパルド,455,305,準速,スカーフ,58,0,165
ジャローダ,554,379,準速,,113,0,165
バスラオ(あかすじ),610,402,最速,,98,0,165
バスラオ(しろすじ),611,403,最速,,98,0,165
ズルッグ,624,407,最速,スカーフ,48,0,165
ズルズキン,625,408,準速,スカーフ,58,0,165
スワンナ,649,422,最速,,98,0,165
ジヘッド,704,453,準速,スカーフ,58,0,165
サザンドラ,705,454,最速,,98,0,165
カヌチャン,1077,704,準速,スカーフ,58,0,165
ナゾノクサ,49,26,準速,ようりょくそ,30,2,164
ヒマナッツ,227,159,準速,ようりょくそ,30,2,164
キマワリ,228,160,準速,ようりょくそ,30,2,164
マグカルゴ,259,186,準速,くだけるよろい,30,2,164
ハスボー,313,218,準速,すいすい,30,2,164
タネボー,316,221,準速,ようりょくそ,30,2,164
チュリネ,606,399,準速,ようりょくそ,30,2,164
ルガルガン(まひるのすがた),841,542,準速,,112,0,164
ラブカス,413,277,最速,,97,0,163
キバゴ,678,435,準速,スカーフ,57,0,163
オノノクス,680,437,最速,,97,0,163
トルネロス(けしんフォルム),711,457,準速,,111,0,163
ボルトロス(けしんフォルム),713,459,準速,,111,0,163
ハリボーグ,728,465,準速,スカーフ,57,0,163
ゲコガシラ,734,471,最速,,97,0,163
ココガラ,924,582,準速,スカーフ,57,0,163
モルペコ,983,620,最速,,97,0,163
ウーラオス(いちげきのかた),1001,633,最速,,97,0,163
ウーラオス(れんげきのかた),1002,634,最速,,97,0,163
イッカネズミ(3びきかぞく),1041,671,準速,,111,0,163
イッカネズミ(4ひきかぞく),1042,672,準速,,111,0,163
サケブシッポ,1109,734,準速,,111,0,163
ライチュウ(原種),27,12,準速,,110,0,162
ライチュウ(アローラのすがた),28,13,準速,,110,0,162
ダグトリオ(アローラのすがた),59,34,準速,,110,0,162
ドードリオ,106,67,準速,,110,0,162
ゲンガー,117,78,準速,,110,0,162
ケンタロス(原種),157,101,準速,,110,0,162
ワタッコ,225,157,準速,,110,0,162
エーフィ,233,164,準速,,110,0,162
ドダイトス,435,289,準速,スカーフ,56,0,162
カバルドン,498,335,最速,スカーフ,47,0,162
ユキメノコ,526,356,準速,,110,0,162
ゾロアーク(ヒスイのすがた),639,412,準速,,110,0,162
オーロット,791,506,準速,スカーフ,56,0,162
ルガルガン(たそがれのすがた),843,544,準速,,110,0,162
ミミッキュ,878,565,最速,,96,0,162
ドラパルト,993,626,無振,,142,0,162
タギングル,1065,692,準速,,110,0,162
ブロロン,1086,712,最速,スカーフ,47,0,162
テツノドクガ,1118,743,準速,,110,0,162
オーガポン(みどりのめん),1144,766,準速,,110,0,162
オーガポン(いどのめん),1145,767,準速,,110,0,162
オーガポン(かまどのめん),1146,768,準速,,110,0,162
オーガポン(いしずえのめん),1147,769,準速,,110,0,162
キュウコン(アローラのすがた),44,23,準速,,109,0,161
ディグダ(原種),56,31,最速,,95,0,161
オコリザル,68,41,最速,,95,0,161
ウインディ(原種),71,44,最速,,95,0,161
ゴースト,116,77,最速,,95,0,161
フリーザー(ガラルのすがた),177,116,最速,,95,0,161
バクフーン(ヒスイのすがた),193,132,最速,,95,0,161
ヤンヤンマ,229,161,最速,,95,0,161
ヘルガー,270,192,最速,,95,0,161
エレキッド,280,201,最速,,95,0,161
ジュプトル,294,208,最速,,95,0,161
プラスル,354,243,最速,,95,0,161
マイナン,355,244,最速,,95,0,161
レックウザ,427,286,最速,,95,0,161
パチリス,465,310,最速,,95,0,161
エレキブル,514,345,最速,,95,0,161
メガヤンマ,517,347,最速,,95,0,161
リーフィア,518,348,最速,,95,0,161
グライオン,520,350,最速,,95,0,161
ユクシー,533,363,最速,,95,0,161
メブキジカ,654,424,最速,,95,0,161
イエッサン(オスのすがた),981,618,最速,,95,0,161
バウッツェル,1044,674,最速,,95,0,161
ウミディグダ,1080,707,最速,,95,0,161
ウネルミナモ,1136,758,準速,,109,0,161
アーボ,24,9,準速,スカーフ,55,0,160
コダック,65,38,準速,スカーフ,55,0,160
ガーディ(ヒスイのすがた),70,43,準速,スカーフ,55,0,160
ウツドン,83,50,準速,スカーフ,55,0,160
ナッシー(原種),128,86,準速,スカーフ,55,0,160
イーブイ,165,109,準速,スカーフ,55,0,160
デンリュウ,217,149,準速,スカーフ,55,0,160
リングマ,257,184,準速,スカーフ,55,0,160
リングマ,257,184,準速,はやあし,55,1,160
ハピナス,283,203,準速,スカーフ,55,0,160
ワカシャモ,297,211,準速,スカーフ,55,0,160
ワカシャモ,297,211,準速,かそく,55,1,160
マルノーム,360,248,準速,スカーフ,55,0,160
ノクタス,375,258,準速,スカーフ,55,0,160
シザリガー,385,266,準速,スカーフ,55,0,160
ゴウカザル,438,292,準速,,108,0,160
チャオブー,556,381,準速,スカーフ,55,0,160
ゴチミル,643,416,準速,スカーフ,55,0,160
コアルヒー,648,421,準速,スカーフ,55,0,160
デンチュラ,664,428,準速,,108,0,160
ランプラー,676,433,準速,スカーフ,55,0,160
ゴルーグ,692,444,準速,スカーフ,55,0,160
オンバット,803,510,準速,スカーフ,55,0,160
アゴジムシ,829,530,最速,スカーフ,46,0,160
ラビフット,917,575,最速,,94,0,160
スナヘビ,946,593,最速,スカーフ,46,0,160
ラブトロス(れいじゅうフォルム),1020,650,最速,スカーフ,46,0,160
デカヌチャン,1079,706,最速,,94,0,160
ノココッチ(ふたふしフォルム),1105,731,準速,スカーフ,55,0,160
ノココッチ(ふたふしフォルム),1105,731,準速,びびり,55,1,160
アラブルタケ,1110,735,準速,スカーフ,55,0,160
アラブルタケ,1110,735,準速,こだいかっせい,55,1,160
テツノコウベ,1117,742,準速,,108,0,160
セビエ,1120,745,準速,スカーフ,55,0,160
フシギダネ,0,0,最速,スカーフ,45,0,159
プクリン,46,25,最速,スカーフ,45,0,159
コンパン,54,29,最速,スカーフ,45,0,159
ゴローニャ(原種),91,58,最速,スカーフ,45,0,159
ゴローニャ(アローラのすがた),92,59,最速,スカーフ,45,0,159
コイル,101,64,最速,スカーフ,45,0,159
パウワウ,107,68,最速,スカーフ,45,0,159
ナッシー(アローラのすがた),129,87,最速,スカーフ,45,0,159
ブーバー,155,100,最速,,93,0,159
チコリータ,187,126,最速,スカーフ,45,0,159
モココ,216,148,最速,スカーフ,45,0,159
ノコッチ,244,173,最速,スカーフ,45,0,159
ノコッチ,244,173,最速,びびり,45,1,159
グランブル,248,176,最速,スカーフ,45,0,159
グランブル,248,176,最速,はやあし,45,1,159
グランブル,248,176,最速,びびり,45,1,159
アチャモ,296,210,最速,スカーフ,45,0,159
アチャモ,296,210,最速,かそく,45,1,159
カゲボウズ,396,269,最速,スカーフ,45,0,159
コリンク,449,301,最速,スカーフ,45,0,159
リーシャン,481,320,最速,スカーフ,45,0,159
ヨノワール,525,355,最速,スカーフ,45,0,159
ポカブ,555,380,最速,スカーフ,45,0,159
ミジュマル,558,383,最速,スカーフ,45,0,159
ローブシン,592,393,最速,スカーフ,45,0,159
ゴチム,642,415,最速,スカーフ,45,0,159
マーイーカ,766,489,最速,スカーフ,45,0,159
ヤングース,827,528,最速,スカーフ,45,0,159
デカグース,828,529,最速,スカーフ,45,0,159
オドリドリ(めらめらスタイル),834,535,最速,,93,0,159
オドリドリ(ぱちぱちスタイル),835,536,最速,,93,0,159
