ID,全国,名前,フォルム,GEN,FID,RID,TID,IID,名前(フォルム),タイプ1,,タイプ2,,HP,攻撃,防御,特攻,特防,素早,合計,とくせい1,とくせい2,夢特性,重さ(kg),スプライト名,スプライトID,アイコンID,アイコン名
224,0188,ポポッコ,,2,00,00,00,,ポポッコ,くさ,grass,ひこう,flying,55,45,50,45,65,80,340,ようりょくそ,リーフガード,すりぬけ,1,pm0191_00_00_00,1XTNRxHfuCYxBTsKcaf2cvSbpjW8qayJq,1uKkwRVCuw1QZWkQPCy5eh70fTz-BDmPl,Pokémon-Icon_188
225,0189,ワタッコ,,2,00,00,00,,ワタッコ,くさ,grass,ひこう,flying,75,55,70,55,95,110,460,ようりょくそ,リーフガード,すりぬけ,3,pm0192_00_00_00,110bncukq-NWZtYheZWfrcKYTujfpvLTp,1vSnBPxmfYUoP_5vqk4eQzNNTYy-8QFD8,Pokémon-Icon_189
226,0190,エイパム,,2,00,00,00,,エイパム,ノーマル,normal,なし,none,55,70,55,40,55,85,360,にげあし,ものひろい,スキルリンク,11.5,pm0193_00_00_00,,10tei7SRiubJHfXTxUwG0BJg2SJlO3lI9,Pokémon-Icon_190
227,0191,ヒマナッツ,,2,00,00,00,,ヒマナッツ,くさ,grass,なし,none,30,30,30,30,30,30,180,ようりょくそ,サンパワー,はやおき,1.8,pm0194_00_00_00,1Nz4hFuhnIOOBcVsfzNiaI-kmbgZV026i,1ne1-_E5Oie3gubXCyQvVrg9QoPK4wo7R,Pokémon-Icon_191
228,0192,キマワリ,,2,00,00,00,,キマワリ,くさ,grass,なし,none,75,75,55,105,85,30,425,ようりょくそ,サンパワー,はやおき,8.5,pm0194_00_51_00,1hUBbJzadNV2X1QyMU46V-UAanK_Qcofj,1czOLDGFBxm_LJCCvCYs3C2KQ2m1dUAju,Pokémon-Icon_192
229,0193,ヤンヤンマ,,2,00,00,00,,ヤンヤンマ,むし,bug,ひこう,flying,65,65,45,75,45,95,390,かそく,ふくがん,おみとおし,38,pm0195_00_00_00,1XwT2Eu6sPimGol2jr7PkXSkKt5lLLS7T,15padtQb4vV-ZagTCNKI5bvoa0AShVTqe,Pokémon-Icon_193
230,0194,ウパー,原種,2,00,00,00,,ウパー(原種),みず,water,じめん,ground,55,45,45,25,25,15,210,しめりけ,ちょすい,てんねん,8.5,pm0196_00_00_00,1yYijvIRElm8Cnl0WyIswXFy6wWsCx5Ab,1LlpNv-8vnc-WQbmN8DLC12eUXl2tQd5K,Pokémon-Icon_194
231,0194,ウパー,パルデアのすがた,9,00,51,00,a,ウパー(パルデアのすがた),どく,poison,じめん,ground,55,45,45,25,25,15,210,しめりけ,ちょすい,てんねん,11,pm0197_00_00_00,1J6BqYQc2Qefn0l_TSJ7AiQtrl_L5aFms,1GWSpm0_B46Xzje7gBfcrQWoeYjoAzTFj,Pokémon-Icon_194a
232,0195,ヌオー,,2,00,00,00,,ヌオー,みず,water,じめん,ground,95,85,85,65,65,35,430,しめりけ,ちょすい,てんねん,75,pm0198_00_00_00,1tTrKZ5TNAV0Om6tJyiWvAWIQbbcN6jMb,1IDbC0zhWTOFtFE8z5PbZ4nSpLNA-ZpTN,Pokémon-Icon_195
233,0196,エーフィ,,2,00,00,00,,エーフィ,エスパー,psychic,なし,none,65,65,60,130,95,110,525,シンクロ,,マジックミラー,26.5,pm0199_00_00_00,1fsVfOrmNoNRg5ehRjuGd_VHfK_NIhkcj,1V23N5p0FV_tpvd9po84wBemZ5lLScWk6,Pokémon-Icon_196
234,0197,ブラッキー,,2,00,00,00,,ブラッキー,あく,dark,なし,none,95,65,110,60,130,65,525,シンクロ,,せいしんりょく,27,pm0199_00_31_00,11J4r_s18cN_wi86YvRK7OCu6Fw8c98nA,16wgu7isw6lfA_v0yG_8HtzfHNzb_U3ln,Pokémon-Icon_197
235,0198,ヤミカラス,,2,00,00,00,,ヤミカラス,あく,dark,ひこう,flying,60,85,42,85,42,91,405,ふみん,きょううん,いたずらごころ,2.1,pm0200_00_00_00,1VRWZCTWbSjm6TK_SJbwAqr9C3Wex3QeC,189UZZ4UKW1ajrnFRkwi8-ZrTCKpgMvde,Pokémon-Icon_198
236,0199,ヤドキング,原種,2,00,00,00,,ヤドキング(原種),みず,water,エスパー,psychic,95,75,80,100,110,30,490,どんかん,マイペース,さいせいりょく,79.5,pm0201_00_00_00,,1xr-SR0kUtWsnciRmDZ09SxsPgkzsn_eQ,Pokémon-Icon_199
237,0199,ヤドキング,ガラルのすがた,8,00,31,00,a,ヤドキング(ガラルのすがた),どく,poison,エスパー,psychic,95,65,80,110,110,30,490,きみょうなくすり,マイペース,さいせいりょく,79.5,pm0202_00_00_00,,1arz11mqR6efs0HWkqflFWLUlqLMbLc87,Pokémon-Icon_199a
238,0200,ムウマ,,2,00,00,00,,ムウマ,ゴースト,ghost,なし,none,60,60,60,85,85,85,435,ふゆう,,,1,pm0203_00_00_00,1F53keuB1hIw8DuROcgrIeGPrEsvj2i3L,1-L0StcZkgotI2-s3vcpfLpBoMTj3RO80,Pokémon-Icon_200
239,0201,アンノーン,,2,00,00,00,,アンノーン,エスパー,psychic,なし,none,48,72,48,72,48,48,336,ふゆう,,,5,pm0204_00_00_00,1Vgwpc5G7-bjdmABfyMV_f6RZo2MlP9Z6,15JYlShs508WFq852kzGpP88hLmXEK1CQ,Pokémon-Icon_201
240,0202,ソーナンス,,2,00,00,00,,ソーナンス,エスパー,psychic,なし,none,190,33,58,33,58,33,405,かげふみ,,テレパシー,28.5,pm0205_00_00_00,1bP1BSPKfdRPjRLgEl3oLD1CDi2iIB3jh,1CYvPCQr_f7QSukMIKvczJXp7oZrliVsN,Pokémon-Icon_202
241,0203,キリンリキ,,2,00,00,00,,キリンリキ,ノーマル,normal,エスパー,psychic,70,80,65,90,65,85,455,せいしんりょく,はやおき,そうしょく,41.5,pm0206_00_00_00,1w7r3UXwpc1l-Denm9onvu3lyv6Ckl9q1,1nW2DnBKEiYt8g0adtR8vpGg1TxnthUUy,Pokémon-Icon_203
242,0204,クヌギダマ,,2,00,00,00,,クヌギダマ,むし,bug,なし,none,50,65,90,35,35,15,290,がんじょう,,ぼうじん,7.2,pm0207_00_00_00,,1Q_HroP_j64FlnQKAe4RfZKVG6ic3qpPd,Pokémon-Icon_204
243,0205,フォレトス,,2,00,00,00,,フォレトス,むし,bug,はがね,steel,75,90,140,60,60,40,465,がんじょう,,ぼうじん,125.8,pm0208_00_00_00,,1IKx2vKBYbPZTxY0a9ydvU1yhAojKhORH,Pokémon-Icon_205
244,0206,ノコッチ,,2,00,00,00,,ノコッチ,ノーマル,normal,なし,none,100,70,70,65,65,45,415,てんのめぐみ,にげあし,びびり,14,pm0209_00_00_00,,1n_BcPqdEfQ1ehTDz8UPUXxQjCaiFD8k7,Pokémon-Icon_206
245,0207,グライガー,,2,00,00,00,,グライガー,じめん,ground,ひこう,flying,65,75,105,35,65,85,430,かいりきバサミ,すながくれ,めんえき,64.8,pm0210_00_00_00,,16LoF_xWfj8HBUVI4D1WqoBJf6nWXe5Zp,Pokémon-Icon_207
246,0208,ハガネール,,2,00,00,00,,ハガネール,はがね,steel,じめん,ground,75,85,200,55,65,30,510,いしあたま,がんじょう,ちからずく,400,pm0211_00_00_00,1hmitmBc_9f4fi6iDn9OJTBOrzdzSFcP0,1TKWEGQF6vJf_oTWc5BVT7nMOI4BFoe1u,Pokémon-Icon_208
247,0209,ブルー,,2,00,00,00,,ブルー,フェアリー,fairy,なし,none,60,80,50,40,40,30,300,いかく,にげあし,びびり,7.8,pm0211_00_00_00,1hmitmBc_9f4fi6iDn9OJTBOrzdzSFcP0,1MDefkkGgfdohrNOgux-oIv4MahVUQxrf,Pokémon-Icon_209
248,0210,グランブル,,2,00,00,00,,グランブル,フェアリー,fairy,なし,none,90,120,75,60,60,45,450,いかく,はやあし,びびり,48.7,pm0212_00_00_00,17kFpkGk8BFodfx8i8dfwMr4FzPbxNyhF,1PkeBRoudqpQAvNO1MIqT5DMoBhBvaEdU,Pokémon-Icon_210
249,0211,ハリーセン,原種,2,00,00,00,,ハリーセン(原種),みず,water,どく,poison,65,95,85,55,55,85,440,どくのトゲ,すいすい,いかく,3.9,pm0213_00_00_00,,1xftEvGLZbG0g-Gk78rOqjqPydnDRmv_E,Pokémon-Icon_211
250,0211,ハリーセン,ヒスイのすがた,8.5,00,41,00,a,ハリーセン(ヒスイのすがた),あく,dark,どく,poison,65,95,85,55,55,85,440,どくのトゲ,すいすい,いかく,3.9,pm0214_00_00_00,1bbOpat5hejs_d5r3wgkyeQofCbkTPfya,17k8JvCpQYkQvLhgWFqfUPHMbt_gjj___,Pokémon-Icon_211a
251,0212,ハッサム,,2,00,00,00,,ハッサム,むし,bug,はがね,steel,70,130,100,55,80,65,500,むしのしらせ,テクニシャン,ライトメタル,118,pm0215_00_00_00,1-HsFBs7NlWh6FhRj6iil2XfE6u-Zfg5K,1GOzGXtB2FiKvQyMpfGu2SEy7IBjGhSgZ,Pokémon-Icon_212
252,0213,ツボツボ,,2,00,00,00,,ツボツボ,むし,bug,いわ,rock,20,10,230,10,230,5,505,がんじょう,くいしんぼう,あまのじゃく,20.5,pm0215_00_00_00,1-HsFBs7NlWh6FhRj6iil2XfE6u-Zfg5K,1_1vqR1tKoqL1JeS5d-XF4N93f2KF07V8,Pokémon-Icon_213
253,0214,ヘラクロス,,2,00,00,00,,ヘラクロス,むし,bug,かくとう,fighting,80,125,75,40,95,85,500,むしのしらせ,こんじょう,じしんかじょう,54,pm0216_00_00_00,1D8qsqF40XUw3LQnCd0ITpGInmEP44J_3,1t6GRKUo2H7qgeI7MrSvsS9g6fQWwpq34,Pokémon-Icon_214
254,0215,ニューラ,原種,2,00,00,00,,ニューラ(原種),あく,dark,こおり,ice,55,95,55,35,75,115,430,せいしんりょく,するどいめ,わるいてぐせ,28,pm0217_00_00_00,1y3mZwWtHrttM6Sq05PCHK_AIrJlsw6Qm,12w50Y1iKpfnJOkyQXsbwbaD9LJSfQnkO,Pokémon-Icon_215
255,0215,ニューラ,ヒスイのすがた,8.5,00,41,00,a,ニューラ(ヒスイのすがた),かくとう,fighting,どく,poison,55,95,55,35,75,115,430,せいしんりょく,するどいめ,わるいてぐせ,27,pm0218_00_00_00,,1pCM_lrghGQuY79mI5m1RVk8K_6qBpaOK,Pokémon-Icon_215a
256,0216,ヒメグマ,,2,00,00,00,,ヒメグマ,ノーマル,normal,なし,none,60,80,50,50,50,40,330,ものひろい,はやあし,みつあつめ,8.8,pm0219_00_00_00,,1vklR7Aetqsz1XcVwSlL71y16j5Rq4noV,Pokémon-Icon_216
257,0217,リングマ,,2,00,00,00,,リングマ,ノーマル,normal,なし,none,90,130,75,75,75,55,500,こんじょう,はやあし,きんちょうかん,125.8,pm0220_00_00_00,,1QOh-P-JqY4YSdUsZypXpEuWCo4npZEEp,Pokémon-Icon_217
258,0218,マグマッグ,,2,00,00,00,,マグマッグ,ほのお,fire,なし,none,40,40,40,70,40,20,250,マグマのよろい,ほのおのからだ,くだけるよろい,35,pm0221_00_00_00,,1NLe4EyQiPJXsriB-ZuCT0v3fHDuIHhxo,Pokémon-Icon_218
259,0219,マグカルゴ,,2,00,00,00,,マグカルゴ,ほのお,fire,いわ,rock,60,50,120,90,80,30,430,マグマのよろい,ほのおのからだ,くだけるよろい,55,pm0222_00_00_00,,1XA7yc0HX-veTEhkjhoDWpHS7h1rIRGRT,Pokémon-Icon_219
260,0220,ウリムー,,2,00,00,00,,ウリムー,こおり,ice,じめん,ground,50,50,40,30,30,50,250,どんかん,ゆきがくれ,あついしぼう,6.5,pm0222_00_31_00,,1h1rCDCEM6F42VjgO7Rb0ruRDyl8oDfML,Pokémon-Icon_220
261,0221,イノムー,,2,00,00,00,,イノムー,こおり,ice,じめん,ground,100,100,80,60,60,50,450,どんかん,ゆきがくれ,あついしぼう,55.8,pm0223_00_00_00,,1ITH4FIcNyRZcDoI2Omh3G21qA0UYB6jK,Pokémon-Icon_221
262,0222,サニーゴ,原種,2,00,00,00,,サニーゴ(原種),みず,water,いわ,rock,65,55,95,65,95,35,410,はりきり,しぜんかいふく,さいせいりょく,5,pm0224_00_00_00,,1Jv2IovPWno3eVWNO2m3DrgYP2pdvpnvm,Pokémon-Icon_222
263,0222,サニーゴ,ガラルのすがた,8,00,31,00,a,サニーゴ(ガラルのすがた),ゴースト,ghost,なし,none,60,55,100,65,100,30,410,くだけるよろい,,のろわれボディ,0.5,pm0225_00_00_00,1m3FlMju8HqhrCw6lX4M1UajgxDmqvx_G,1TFvraTqrhtPvZXPUiO-uyFUa7X955FXP,Pokémon-Icon_222a
264,0223,テッポウオ,,2,00,00,00,,テッポウオ,みず,water,なし,none,35,65,35,65,35,65,300,はりきり,スナイパー,ムラっけ,12,pm0226_00_00_00,,17WeSy4LNhN8UgwAN2eBgSJp3BrGKHLSn,Pokémon-Icon_223
265,0224,オクタン,,2,00,00,00,,オクタン,みず,water,なし,none,75,105,75,105,75,45,480,きゅうばん,スナイパー,ムラっけ,28.5,pm0227_00_00_00,,1sq3VmY5Y7RiUyIOcMZq2CL5Qp-8Gy0xY,Pokémon-Icon_224
266,0225,デリバード,,2,00,00,00,,デリバード,こおり,ice,ひこう,flying,45,55,45,65,45,75,330,やるき,はりきり,ふみん,16,pm0228_00_00_00,1rMG32NQnSjdZqZCYMX2n2Ob6WnzMyTfe,1BREd0dIGvF91MMWM9W7MADfBzVIzKdGF,Pokémon-Icon_225
267,0226,マンタイン,,2,00,00,00,,マンタイン,みず,water,ひこう,flying,85,40,70,80,140,70,485,すいすい,ちょすい,みずのベール,220,pm0229_00_00_00,1XS0nJOZNwC5ZcRjKpHraG3GBLvtGwE2e,132XPfLqbgarveiNHNpCL2DP5YHSZenLK,Pokémon-Icon_226
268,0227,エアームド,,2,00,00,00,,エアームド,はがね,steel,ひこう,flying,65,80,140,40,70,70,465,するどいめ,がんじょう,くだけるよろい,50.5,pm0230_00_00_00,,1ANo38eBBnUePV169C5bQyVcL6KcCgjGe,Pokémon-Icon_227
269,0228,デルビル,,2,00,00,00,,デルビル,あく,dark,ほのお,fire,45,60,30,80,50,65,330,はやおき,もらいび,きんちょうかん,10.8,pm0231_00_00_00,1bkZuvLa9napj8X2TudKOrnKS-DkVr7jb,1iEdc9fo2AUBXr_aq1Z7i2TkqzF2Z1Kf3,Pokémon-Icon_228
270,0229,ヘルガー,,2,00,00,00,,ヘルガー,あく,dark,ほのお,fire,75,90,50,110,80,95,500,はやおき,もらいび,きんちょうかん,35,pm0232_00_00_00,1Y7lv6Gff-HSAs-iq8yd0kA981pY8FBFf,1nl5q0l-h-1JpBnt6mx9hTvayh4L7cylQ,Pokémon-Icon_229
271,0230,キングドラ,,2,00,00,00,,キングドラ,みず,water,ドラゴン,dragon,75,95,95,95,95,85,540,すいすい,スナイパー,しめりけ,152,pm0233_00_00_00,,1apZPmDKub_DN_uyGQtCc7MSfdZDhH5Gh,Pokémon-Icon_230
272,0231,ゴマゾウ,,2,00,00,00,,ゴマゾウ,じめん,ground,なし,none,90,60,60,40,40,40,330,ものひろい,,すながくれ,33.5,pm0234_00_00_00,19keFrUCwOaD98nyFgia88wLNLNNlbJOz,1ce0xWDx7-cuKWiv6u4LNRiNoUGPlv5je,Pokémon-Icon_231
273,0232,ドンファン,,2,00,00,00,,ドンファン,じめん,ground,なし,none,90,120,120,60,60,50,500,がんじょう,,すながくれ,120,pm0235_00_00_00,,1gYL_6BIC0qtwbgvcjqoFQDGRNcj3UDlM,Pokémon-Icon_232
274,0233,ポリゴン2,,2,00,00,00,,ポリゴン2,ノーマル,normal,なし,none,85,80,90,105,95,60,515,トレース,ダウンロード,アナライズ,32.5,pm0236_00_00_00,,1Jc_ZH63s_Qu2mkaO0bbEv8CjIGR_C1F3,Pokémon-Icon_233
275,0234,オドシシ,,2,00,00,00,,オドシシ,ノーマル,normal,なし,none,73,95,62,85,65,85,465,いかく,おみとおし,そうしょく,71.2,pm0237_00_00_00,,1VOWHZT28Cb7WendPtT9HSB5579ZRv7EK,Pokémon-Icon_234
276,0235,ドーブル,,2,00,00,00,,ドーブル,ノーマル,normal,なし,none,55,20,35,20,45,75,250,マイペース,テクニシャン,ムラっけ,58,pm0238_00_00_00,,1zZ6M3V8hgkIY79cW73913j-3PP1CsKyj,Pokémon-Icon_235
277,0236,バルキー,,2,00,00,00,,バルキー,かくとう,fighting,なし,none,35,35,35,35,35,35,210,こんじょう,ふくつのこころ,やるき,21,pm0239_00_00_00,,1bRMYPG8y9X8wG4ssfp6xfS108PgDuTXM,Pokémon-Icon_236
278,0237,カポエラー,,2,00,00,00,,カポエラー,かくとう,fighting,なし,none,50,95,95,35,110,70,455,いかく,テクニシャン,ふくつのこころ,48,pm0240_00_00_00,,14C6Bnt2cdkrQRDThdIbr4EdXf8NmArzw,Pokémon-Icon_237
279,0238,ムチュール,,2,00,00,00,,ムチュール,こおり,ice,エスパー,psychic,45,30,15,85,65,65,305,どんかん,よちむ,うるおいボディ,6,pm0241_00_00_00,,1HncosKVQOr5CrCiiI3aVja8RUOeAUUCh,Pokémon-Icon_238
280,0239,エレキッド,,2,00,00,00,,エレキッド,でんき,electric,なし,none,45,63,37,65,55,95,360,せいでんき,,やるき,23.5,pm0242_00_00_00,1P0PiuY1TdxtPtdhx5dQMYvyLl1b4M4ep,1EJwkOafACfXuGHkO5miLxAf9mxDjPowP,Pokémon-Icon_239
281,0240,ブビィ,,2,00,00,00,,ブビィ,ほのお,fire,なし,none,45,75,37,70,55,83,365,ほのおのからだ,,やるき,21.4,pm0243_00_00_00,,1dtDl1DX5Qj0Bgbe6ZtNga8tdl5OrlZRu,Pokémon-Icon_240
282,0241,ミルタンク,,2,00,00,00,,ミルタンク,ノーマル,normal,なし,none,95,80,105,40,70,100,490,あついしぼう,きもったま,そうしょく,75.5,pm0244_00_00_00,,1nZnD0L-CIAdCsbBJ5wTUlcynUAxx-Sz8,Pokémon-Icon_241
283,0242,ハピナス,,2,00,00,00,,ハピナス,ノーマル,normal,なし,none,255,10,10,75,135,55,540,しぜんかいふく,てんのめぐみ,いやしのこころ,46.8,pm0245_00_00_00,,1aRrDZQpMT4aUmXq2SsR5m4sr6on20AbE,Pokémon-Icon_242
284,0243,ライコウ,,2,00,00,00,,ライコウ,でんき,electric,なし,none,90,85,75,115,100,115,580,プレッシャー,,せいしんりょく,178,pm0246_00_00_00,1KKiIUB66i49INMYjonCxe989rlFWGpJe,1UKuvSztqf4KIoRJ7Z2cLnpbWFbJ-0vYs,Pokémon-Icon_243
285,0244,エンテイ,,2,00,00,00,,エンテイ,ほのお,fire,なし,none,115,115,85,90,75,100,580,プレッシャー,,せいしんりょく,198,pm0247_00_00_00,1PG_cF4LQonNlVBSqZTRY6qXm8CEywvm-,1PT6hZmtPBjaM7jVn16_uPN5tWyqqaL11,Pokémon-Icon_244
286,0245,スイクン,,2,00,00,00,,スイクン,みず,water,なし,none,100,75,115,90,115,85,580,プレッシャー,,せいしんりょく,187,pm0248_00_00_00,1hsuQfebQr_Y2nBMgt7SVrPkfXMY73hum,1ArjtKfvSOsmyxvHJYr_izBnU4v3rj1aM,Pokémon-Icon_245
287,0246,ヨーギラス,,2,00,00,00,,ヨーギラス,いわ,rock,じめん,ground,50,64,50,45,50,41,300,こんじょう,,すながくれ,72,pm0249_00_00_00,,1XhtyEVllmu-dm7LW5Gt_fLoLxTRq4I2J,Pokémon-Icon_246
288,0247,サナギラス,,2,00,00,00,,サナギラス,いわ,rock,じめん,ground,70,84,70,65,70,51,410,だっぴ,,,152,pm0250_00_00_00,,1ZbXuPIP6W341-VApZ4QGDd7tbVjIoAq7,Pokémon-Icon_247
289,0248,バンギラス,,2,00,00,00,,バンギラス,いわ,rock,あく,dark,100,134,110,95,100,61,600,すなおこし,,きんちょうかん,202,pm0251_00_00_00,,18qcMGHhazNpN-s7UCSqDoCuE2KdaYbAl,Pokémon-Icon_248
290,0249,ルギア,,2,00,00,00,,ルギア,エスパー,psychic,ひこう,flying,106,90,130,90,154,110,680,プレッシャー,,マルチスケイル,216,pm0252_00_00_00,,16zVIjmNVDL7MDKEk133-m55QSEBN_IHG,Pokémon-Icon_249
291,0250,ホウオウ,,2,00,00,00,,ホウオウ,ほのお,fire,ひこう,flying,106,130,90,110,154,90,680,プレッシャー,,さいせいりょく,199,pm0253_00_00_00,,1Rb9KavXyneqCj2EaXaF-xrGtDA-gI85b,Pokémon-Icon_250
292,0251,セレビィ,,2,00,00,00,,セレビィ,エスパー,psychic,くさ,grass,100,100,100,100,100,100,600,しぜんかいふく,,,5,pm0254_00_00_00,,1YpxnfkjI9L3GgxFZRTQYzdcKhx_0Os65,Pokémon-Icon_251
293,0252,キモリ,,3,00,00,00,,キモリ,くさ,grass,なし,none,40,45,35,65,55,70,310,しんりょく,,かるわざ,5,pm0255_00_00_00,,1MbCRZNmMjvf4mtIXVbznIEmpQmuqVJag,Pokémon-Icon_252
294,0253,ジュプトル,,3,00,00,00,,ジュプトル,くさ,grass,なし,none,50,65,45,85,65,95,405,しんりょく,,かるわざ,21.6,pm0256_00_00_00,,1rCFeMCSQMy1-uFgLBUNs_TCesRNuydCz,Pokémon-Icon_253
295,0254,ジュカイン,,3,00,00,00,,ジュカイン,くさ,grass,なし,none,70,85,65,105,85,120,530,しんりょく,,かるわざ,52.2,pm0257_00_00_00,,1mz3AmwoMZ3h3UwiimZ0HMzmj-ErAi3RT,Pokémon-Icon_254
296,0255,アチャモ,,3,00,00,00,,アチャモ,ほのお,fire,なし,none,45,60,40,70,50,45,310,もうか,,かそく,2.5,pm0258_00_00_00,,1zQ0TGGIlIYrqdjAmN8FBQN6-5XpNWIc1,Pokémon-Icon_255
297,0256,ワカシャモ,,3,00,00,00,,ワカシャモ,ほのお,fire,かくとう,fighting,60,85,60,85,60,55,405,もうか,,かそく,19.5,pm0259_00_00_00,,1M4uIYWU-fFuMq5Gdibors_GRUYXwiBph,Pokémon-Icon_256
298,0257,バシャーモ,,3,00,00,00,,バシャーモ,ほのお,fire,かくとう,fighting,80,120,70,110,70,80,530,もうか,,かそく,52,pm0260_00_00_00,,1cdb9exmbRJztNIGdH_EJqGaTfLW_1XMX,Pokémon-Icon_257
299,0258,ミズゴロウ,,3,00,00,00,,ミズゴロウ,みず,water,なし,none,50,70,50,50,50,40,310,げきりゅう,,しめりけ,7.6,pm0261_00_00_00,,1a3yWXBJs5JVFVUoLo832-AjtxgjyXNwb,Pokémon-Icon_258
300,0259,ヌマクロー,,3,00,00,00,,ヌマクロー,みず,water,じめん,ground,70,85,70,60,70,50,405,げきりゅう,,しめりけ,28,pm0262_00_00_00,,1FhRD1hjuPpXLjRazd-JlEUdig3N8BTVq,Pokémon-Icon_259
301,0260,ラグラージ,,3,00,00,00,,ラグラージ,みず,water,じめん,ground,100,110,90,85,90,60,535,げきりゅう,,しめりけ,81.9,pm0263_00_00_00,,1uqEJQIA0B79AcoZ8TjibsSR8qqYfqtJ1,Pokémon-Icon_260
302,0261,ポチエナ,,3,00,00,00,,ポチエナ,あく,dark,なし,none,35,55,35,30,30,35,220,にげあし,はやあし,びびり,13.6,pm0263_00_31_00,,1owWspq3fDgJLOMBUnIZZBAAYHXtHj9nA,Pokémon-Icon_261
303,0262,グラエナ,,3,00,00,00,,グラエナ,あく,dark,なし,none,70,90,70,60,60,70,420,いかく,はやあし,じしんかじょう,37,pm0264_00_00_00,,1nYVmWk1d3mg2BTZ7fb-F9bImYqeDsgCU,Pokémon-Icon_262
304,0263,ジグザグマ,原種,3,00,00,00,,ジグザグマ(原種),ノーマル,normal,なし,none,38,30,41,30,41,60,240,ものひろい,くいしんぼう,はやあし,17.5,pm0264_00_31_00,,1eJA-3JfToUZR1h3fxMou6ERGRihDmUY-,Pokémon-Icon_263
305,0263,ジグザグマ,ガラルのすがた,8,00,31,00,a,ジグザグマ(ガラルのすがた),あく,dark,ノーマル,normal,38,30,41,30,41,60,240,ものひろい,くいしんぼう,はやあし,17.5,pm0265_00_00_00,,1qNvqVhoMIl8TihcSaOkT3QSFKg2acidC,Pokémon-Icon_263a
306,0264,マッスグマ,原種,3,00,00,00,,マッスグマ(原種),ノーマル,normal,なし,none,78,70,61,50,61,100,420,ものひろい,くいしんぼう,はやあし,32.5,pm0266_00_00_00,,1cIbHHnUubE9fElsjtUtw_93hV1m5kE4J,Pokémon-Icon_264
307,0264,マッスグマ,ガラルのすがた,8,00,31,00,a,マッスグマ(ガラルのすがた),あく,dark,ノーマル,normal,78,70,61,50,61,100,420,ものひろい,くいしんぼう,はやあし,32.5,pm0267_00_00_00,,1XumM1c7vLNvxtO3tk4RrKbwd_YHRiHxx,Pokémon-Icon_264a
308,0265,ケムッソ,,3,00,00,00,,ケムッソ,むし,bug,なし,none,45,45,35,20,30,20,195,りんぷん,,にげあし,3.6,pm0268_00_00_00,,1QDuYT0gZ8eg2OvbbaJKK2F4s3ZkJ9oVJ,Pokémon-Icon_265
309,0266,カラサリス,,3,00,00,00,,カラサリス,むし,bug,なし,none,50,35,55,25,25,15,205,だっぴ,,,10,pm0269_00_00_00,,1RcTX-ku0iagAsAEFgxB7WRll3hpm2MMP,Pokémon-Icon_266
310,0267,アゲハント,,3,00,00,00,,アゲハント,むし,bug,ひこう,flying,60,70,50,100,50,65,395,むしのしらせ,,とうそうしん,28.4,pm0270_00_00_00,,1RApAtuf2qkfFrvE05aF8GNHuzLA8tR0W,Pokémon-Icon_267
311,0268,マユルド,,3,00,00,00,,マユルド,むし,bug,なし,none,50,35,55,25,25,15,205,だっぴ,,,11.5,pm0271_00_00_00,,1CdYUDotC2yfIetY4B5Sa10-x-TtmelGL,Pokémon-Icon_268
312,0269,ドクケイル,,3,00,00,00,,ドクケイル,むし,bug,どく,poison,60,50,70,50,90,65,385,りんぷん,,ふくがん,31.6,pm0272_00_00_00,,1rZZ3Cg0p1kTWnRjhnamPBAYAiESe_Ny4,Pokémon-Icon_269
313,0270,ハスボー,,3,00,00,00,,ハスボー,みず,water,くさ,grass,40,30,30,40,50,30,220,すいすい,あめうけざら,マイペース,2.6,pm0273_00_00_00,,1PMLFAFSoEGlAa1eNpu4cTerfi9830JhP,Pokémon-Icon_270
314,0271,ハスブレロ,,3,00,00,00,,ハスブレロ,みず,water,くさ,grass,60,50,50,60,70,50,340,すいすい,あめうけざら,マイペース,32.5,pm0274_00_00_00,,1LRrntsBqe0i5RUVTxzS_y4klD3gagFWo,Pokémon-Icon_271
315,0272,ルンパッパ,,3,00,00,00,,ルンパッパ,みず,water,くさ,grass,80,70,70,90,100,70,480,すいすい,あめうけざら,マイペース,55,pm0275_00_00_00,,1Rl6jEMeGZu3booN5rynicmGAjaVcpdcD,Pokémon-Icon_272
316,0273,タネボー,,3,00,00,00,,タネボー,くさ,grass,なし,none,40,40,50,30,30,30,220,ようりょくそ,はやおき,わるいてぐせ,4,pm0276_00_00_00,,1PXhddeEhYSrLrsfwcGbEYpU36DHNmX8n,Pokémon-Icon_273
317,0274,コノハナ,,3,00,00,00,,コノハナ,くさ,grass,あく,dark,70,70,40,60,40,60,340,ようりょくそ,はやおき,わるいてぐせ,28,pm0277_00_00_00,,13E0If0r5-F7bVPR62pu1mx8Ebr7CxUU_,Pokémon-Icon_274
318,0275,ダーテング,,3,00,00,00,,ダーテング,くさ,grass,あく,dark,90,100,60,90,60,80,480,ようりょくそ,はやおき,わるいてぐせ,59.6,pm0278_00_00_00,1Lk3UXGDZ0-52LoHop6aDxeNVW3MMXVst,16peRdCVf-7pvkSFREUwiZePYOQCzngaw,Pokémon-Icon_275
