名前,ID,育て方,ブースト,種族値,ランク,実数値,D,C,B,A,ブイズ,DLC,碧の仮面,藍の円盤,キタカミプロローグ
フーパ(いましめられしフーパ),811,最速,スカーフ,70,0,201,X,X,X,X,X,X,X,X,X
ボルケニオン,813,最速,スカーフ,70,0,201,X,X,X,X,X,X,X,X,X
ニョロボン,75,最速,スカーフ,70,0,201,X,X,X,X,X,O,X,O,O
ウツボット,84,最速,スカーフ,70,0,201,X,X,X,X,X,O,X,O,O
メノクラゲ,85,最速,スカーフ,70,0,201,X,X,X,X,X,O,X,O,O
ジュゴン,108,最速,スカーフ,70,0,201,X,X,X,X,X,O,O,X,X
ヨルノズク,200,最速,スカーフ,70,0,201,X,X,X,X,X,O,X,O,O
ニョロトノ,222,最速,スカーフ,70,0,201,X,X,X,X,X,O,X,O,O
エアームド,268,最速,スカーフ,70,0,201,X,X,X,X,X,O,O,X,X
カポエラー,278,最速,スカーフ,70,0,201,X,X,X,X,X,O,O,X,X
カポエラー,278,最速,ふくつのこころ,70,1,201,X,X,X,X,X,O,O,X,X
キモリ,293,最速,スカーフ,70,0,201,X,X,X,X,X,O,O,X,X
グラエナ,303,最速,スカーフ,70,0,201,X,X,X,X,X,O,X,O,O
グラエナ,303,最速,はやあし,70,1,201,X,X,X,X,X,O,X,O,O
ルンパッパ,315,最速,スカーフ,70,0,201,X,X,X,X,X,O,X,O,O
ビブラーバ,372,最速,スカーフ,70,0,201,X,X,X,X,X,O,O,X,X
メタグロス,419,最速,スカーフ,70,0,201,X,X,X,X,X,O,O,X,X
ニャビー,818,最速,スカーフ,70,0,201,X,X,X,X,X,O,O,X,X
ヤバソチャ,1140,最速,スカーフ,70,0,201,O,X,X,X,X,O,X,O,O
サンダース,167,最速,,130,0,200,O,O,O,O,O,X,X,X,X
コオリッポ(ナイスフェイス),980,最速,,130,0,200,O,O,O,O,X,X,X,X,X
レイスポス,1007,最速,,130,0,200,O,X,X,X,X,X,X,X,X
ミュウツー,185,最速,,130,0,200,X,X,X,X,X,X,X,X,X
ザシアン(けんのおう),994,準速,,148,0,200,X,X,X,X,X,X,X,X,X
ムゲンダイナ(通常),998,最速,,130,0,200,X,X,X,X,X,X,X,X,X
ギャラドス,162,準速,スカーフ,81,0,199,O,O,O,O,X,X,X,X,O
ヒバニー,916,最速,スカーフ,69,0,199,O,X,X,X,X,X,X,X,X
チヲハウハネ,1112,準速,スカーフ,81,0,199,O,O,O,O,X,X,X,X,X
チヲハウハネ,1112,準速,こだいかっせい,81,1,199,O,O,O,O,X,X,X,X,X
ミロカロス,393,準速,スカーフ,81,0,199,X,X,X,X,X,O,X,O,O
モウカザル,437,準速,スカーフ,81,0,199,X,X,X,X,X,O,O,X,X
リザード,4,準速,スカーフ,80,0,198,O,X,X,X,X,X,X,X,X
ゴース,115,準速,スカーフ,80,0,198,O,O,O,O,X,X,X,X,O
コイキング,161,準速,スカーフ,80,0,198,O,O,O,O,X,X,X,X,O
コイキング,161,準速,びびり,80,1,198,O,O,O,O,X,X,X,X,O
カイリュー,184,準速,スカーフ,80,0,198,O,O,O,O,X,X,X,X,X
マグマラシ,191,準速,スカーフ,80,0,198,O,X,X,X,X,X,X,X,X
ポポッコ,224,準速,スカーフ,80,0,198,O,O,O,O,X,X,X,X,X
サーナイト,325,準速,スカーフ,80,0,198,O,O,O,O,X,X,X,X,O
アメモース,327,準速,スカーフ,80,0,198,O,O,O,O,X,X,X,X,O
チャーレム,351,準速,スカーフ,80,0,198,O,O,O,O,X,X,X,X,X
ブーピッグ,369,準速,スカーフ,80,0,198,O,O,O,O,X,X,X,X,O
チルタリス,377,準速,スカーフ,80,0,198,O,O,O,O,X,X,X,X,X
オニゴーリ,405,準速,スカーフ,80,0,198,O,O,O,O,X,X,X,X,O
ムクバード,443,準速,スカーフ,80,0,198,O,O,O,O,X,X,X,X,O
フワライド,474,準速,スカーフ,80,0,198,O,O,O,O,X,X,X,X,X
エルレイド,523,準速,スカーフ,80,0,198,O,O,O,O,X,X,X,X,O
エルレイド,523,準速,ふくつのこころ,80,1,198,O,O,O,O,X,X,X,X,O
エムリット,534,準速,スカーフ,80,0,198,O,X,X,X,X,X,X,X,X
ウォーグル(原種),697,準速,スカーフ,80,0,198,O,O,O,O,X,X,X,X,X
ゴーゴート,751,最速,スカーフ,68,0,198,O,O,O,O,X,X,X,X,X
ヌメルゴン(原種),787,準速,スカーフ,80,0,198,O,O,O,O,X,X,X,X,X
ナゲツケサル,865,準速,スカーフ,80,0,198,O,O,O,O,X,X,X,X,X
バチンキー,914,準速,スカーフ,80,0,198,O,X,X,X,X,X,X,X,X
レジドラゴ,1005,準速,スカーフ,80,0,198,O,X,X,X,X,X,X,X,X
ハカドッグ,1093,最速,スカーフ,68,0,198,O,O,O,O,X,X,X,X,X
メロエッタ(ステップフォルム),724,最速,,128,0,198,X,X,X,X,X,X,X,X,X
フーパ(ときはなたれしフーパ),812,準速,スカーフ,80,0,198,X,X,X,X,X,X,X,X,X
ザマゼンタ(たてのおう),996,最速,,128,0,198,X,X,X,X,X,X,X,X,X
バドレックス(通常),1008,準速,スカーフ,80,0,198,X,X,X,X,X,X,X,X,X
フシギバナ,2,準速,スカーフ,80,0,198,X,X,X,X,X,O,O,X,X
アーボック,25,準速,スカーフ,80,0,198,X,X,X,X,X,O,X,O,O
メガニウム,189,準速,スカーフ,80,0,198,X,X,X,X,X,O,O,X,X
バシャーモ,298,準速,スカーフ,80,0,198,X,X,X,X,X,O,O,X,X
バシャーモ,298,準速,かそく,80,1,198,X,X,X,X,X,O,O,X,X
ダーテング,318,準速,スカーフ,80,0,198,X,X,X,X,X,O,X,O,O
ヒンバス,392,準速,スカーフ,80,0,198,X,X,X,X,X,O,X,O,O
マンムー,521,準速,スカーフ,80,0,198,X,X,X,X,X,O,X,O,O
モグリュー,587,最速,スカーフ,68,0,198,X,X,X,X,X,O,X,X,X
シャンデラ,677,準速,スカーフ,80,0,198,X,X,X,X,X,O,X,O,O
バルジーナ,700,準速,スカーフ,80,0,198,X,X,X,X,X,O,X,O,O
ニャスパー,755,最速,スカーフ,68,0,198,X,X,X,X,X,O,O,X,X
イイネイヌ,1141,準速,スカーフ,80,0,198,O,X,X,X,X,O,X,X,O
シェイミ(スカイフォルム),548,最速,,127,0,196,X,X,X,X,X,O,O,X,X
スリーパー,120,最速,スカーフ,67,0,195,O,O,O,O,X,X,X,X,X
オノンド,679,最速,スカーフ,67,0,195,O,O,O,O,X,X,X,X,X
ファイアロー,741,最速,,126,0,195,O,O,O,O,X,X,X,X,X
アーマーガア,926,最速,スカーフ,67,0,195,O,O,O,O,X,X,X,X,X
イダイトウ(メスのすがた),1016,準速,スカーフ,78,0,195,O,X,X,X,X,X,X,X,O
イダイトウ(オスのすがた),1015,準速,スカーフ,78,0,195,O,X,X,X,X,X,X,X,O
ナカヌチャン,1078,準速,スカーフ,78,0,195,O,O,O,O,X,X,X,X,X
カメックス,8,準速,スカーフ,78,0,195,X,X,X,X,X,O,O,X,X
オーダイル,196,準速,スカーフ,78,0,195,X,X,X,X,X,O,O,X,X
チョンチー,206,最速,スカーフ,67,0,195,X,X,X,X,X,O,X,X,X
ランターン,207,最速,スカーフ,67,0,195,X,X,X,X,X,O,X,X,X
マニューラ,509,最速,,125,0,194,O,O,O,O,X,X,X,X,O
ドラパルト,993,準速,,142,0,194,O,O,O,O,X,X,X,X,X
タイカイデン,1061,最速,,125,0,194,O,O,O,O,X,X,X,X,X
フシギダネ,0,準速,ようりょくそ,45,2,194,X,X,X,X,X,O,O,X,X
ケイコウオ,504,最速,スカーフ,66,0,193,O,O,O,O,X,X,X,X,X
ヒードラン,540,準速,スカーフ,77,0,193,O,X,X,X,X,X,X,X,X
ヤトウモリ,856,準速,スカーフ,77,0,193,O,O,O,O,X,X,X,X,O
アオガラス,925,準速,スカーフ,77,0,193,O,O,O,O,X,X,X,X,X
サシカマス,949,最速,スカーフ,66,0,193,O,O,O,O,X,X,X,X,O
ラウドボーン,1026,最速,スカーフ,66,0,193,O,O,O,O,X,X,X,X,X
モンメン,604,最速,スカーフ,66,0,193,X,X,X,X,X,O,O,X,X
アブリボン,839,最速,,124,0,193,X,X,X,X,X,O,X,O,O
ヒトカゲ,3,最速,スカーフ,65,0,192,O,X,X,X,X,X,X,X,X
シャワーズ,166,最速,スカーフ,65,0,192,O,O,O,O,O,X,X,X,X
ブースター,168,最速,スカーフ,65,0,192,O,O,O,O,O,X,X,X,X
ヒノアラシ,190,最速,スカーフ,65,0,192,O,X,X,X,X,X,X,X,X
ブラッキー,234,最速,スカーフ,65,0,192,O,O,O,O,O,X,X,X,X
ハッサム,251,最速,スカーフ,65,0,192,O,O,O,O,X,X,X,X,X
デルビル,269,最速,スカーフ,65,0,192,O,O,O,O,X,X,X,X,O
ペリッパー,322,最速,スカーフ,65,0,192,O,O,O,O,X,X,X,X,X
アメタマ,326,最速,スカーフ,65,0,192,O,O,O,O,X,X,X,X,O
ハブネーク,379,最速,スカーフ,65,0,192,O,O,O,O,X,X,X,X,X
ジュペッタ,397,最速,スカーフ,65,0,192,O,O,O,O,X,X,X,X,X
コロトック,448,最速,スカーフ,65,0,192,O,O,O,O,X,X,X,X,O
グレイシア,519,最速,スカーフ,65,0,192,O,O,O,O,O,X,X,X,X
メグロコ,612,最速,スカーフ,65,0,192,O,O,O,O,X,X,X,X,X
ゾロア(原種),636,最速,スカーフ,65,0,192,O,O,O,O,X,X,X,X,X
ゴチルゼル,644,最速,スカーフ,65,0,192,O,O,O,O,X,X,X,X,X
ママンボウ,662,最速,スカーフ,65,0,192,O,O,O,O,X,X,X,X,X
ウォーグル(ヒスイのすがた),698,最速,スカーフ,65,0,192,O,X,X,X,X,X,X,X,X
オンバーン,804,最速,,123,0,192,O,O,O,O,X,X,X,X,O
ネッコアラ,875,最速,スカーフ,65,0,192,O,O,O,O,X,X,X,X,X
サルノリ,913,最速,スカーフ,65,0,192,O,X,X,X,X,X,X,X,X
カムカメ,936,準速,すいすい,44,2,192,O,O,O,O,X,X,X,X,O
モスノウ,977,最速,スカーフ,65,0,192,O,O,O,O,X,X,X,X,X
アヤシシ,1011,最速,スカーフ,65,0,192,O,X,X,X,X,X,X,X,O
ニャオハ,1021,最速,スカーフ,65,0,192,O,O,O,O,X,X,X,X,X
マスカーニャ,1023,最速,,123,0,192,O,O,O,O,X,X,X,X,X
ウェルカモ,1028,最速,スカーフ,65,0,192,O,O,O,O,X,X,X,X,X
パフュートン(オスのすがた),1031,最速,スカーフ,65,0,192,O,O,O,O,X,X,X,X,X
パフュートン(メスのすがた),1032,最速,スカーフ,65,0,192,O,O,O,O,X,X,X,X,X
パピモッチ,1043,最速,スカーフ,65,0,192,O,O,O,O,X,X,X,X,X
ミミズズ,1089,最速,スカーフ,65,0,192,O,O,O,O,X,X,X,X,O
マギアナ,904,最速,スカーフ,65,0,192,X,X,X,X,X,X,X,X,X
サンドパン(原種),31,最速,スカーフ,65,0,192,X,X,X,X,X,O,X,O,O
サンドパン(アローラのすがた),32,最速,スカーフ,65,0,192,X,X,X,X,X,O,X,O,O
ロコン(原種),41,最速,スカーフ,65,0,192,X,X,X,X,X,O,X,O,O
ロコン(アローラのすがた),42,最速,スカーフ,65,0,192,X,X,X,X,X,O,X,O,O
エビワラー,134,準速,スカーフ,76,0,192,X,X,X,X,X,O,O,X,X
チリーン,401,最速,スカーフ,65,0,192,X,X,X,X,X,O,X,O,O
エンブオー,557,最速,スカーフ,65,0,192,X,X,X,X,X,O,O,X,X
シママ,580,準速,スカーフ,76,0,192,X,X,X,X,X,O,O,X,X
シママ,580,準速,でんきエンジン,76,1,192,X,X,X,X,X,O,O,X,X
コジョフー,688,最速,スカーフ,65,0,192,X,X,X,X,X,O,X,O,O
ツツケラ,824,最速,スカーフ,65,0,192,X,X,X,X,X,O,O,X,X
ジャランゴ,883,最速,スカーフ,65,0,192,X,X,X,X,X,O,X,O,O
ゲッコウガ(通常),735,最速,,122,0,191,O,X,X,X,X,X,X,X,X
デリバード,266,準速,スカーフ,75,0,190,O,O,O,O,X,X,X,X,X
シキジカ,653,準速,スカーフ,75,0,190,O,O,O,O,X,X,X,X,X
トルネロス(れいじゅうフォルム),712,最速,,121,0,190,O,X,X,X,X,X,X,X,X
ブリガロン,729,最速,スカーフ,64,0,190,O,X,X,X,X,X,X,X,X
フラージェス,749,準速,スカーフ,75,0,190,O,O,O,O,X,X,X,X,X
クレッフィ,789,準速,スカーフ,75,0,190,O,O,O,O,X,X,X,X,X
ストリンダー(ハイなすがた),952,準速,スカーフ,75,0,190,O,O,O,O,X,X,X,X,X
ストリンダー(ローなすがた),953,準速,スカーフ,75,0,190,O,O,O,O,X,X,X,X,X
タイレーツ,974,準速,スカーフ,75,0,190,O,O,O,O,X,X,X,X,X
ワッカネズミ,1040,準速,スカーフ,75,0,190,O,O,O,O,X,X,X,X,O
グレンアルマ,1056,準速,スカーフ,75,0,190,O,O,O,O,X,X,X,X,X
シルシュルー,1064,準速,スカーフ,75,0,190,O,O,O,O,X,X,X,X,X
ガケガニ,1070,準速,スカーフ,75,0,190,O,O,O,O,X,X,X,X,X
ガケガニ,1070,準速,いかりのこうら,75,1,190,O,O,O,O,X,X,X,X,X
スコヴィラン,1072,準速,スカーフ,75,0,190,O,O,O,O,X,X,X,X,X
ヒラヒナ,1075,準速,スカーフ,75,0,190,O,O,O,O,X,X,X,X,X
ヒラヒナ,1075,準速,かそく,75,1,190,O,O,O,O,X,X,X,X,X
ナミイルカ,1083,準速,スカーフ,75,0,190,O,O,O,O,X,X,X,X,X
モトトカゲ,1088,最速,,121,0,190,O,O,O,O,X,X,X,X,X
ヘイラッシャ,1098,最速,合体,35,2,190,O,O,O,O,X,X,X,X,X
ザシアン(れきせんのゆうしゃ),995,準速,,138,0,190,X,X,X,X,X,X,X,X,X
ザマゼンタ(れきせんのゆうしゃ),997,準速,,138,0,190,X,X,X,X,X,X,X,X,X
ドードー,105,準速,スカーフ,75,0,190,X,X,X,X,X,O,O,X,X
ドーブル,276,準速,スカーフ,75,0,190,X,X,X,X,X,O,O,X,X
チラーミィ,640,準速,スカーフ,75,0,190,X,X,X,X,X,O,O,X,X
ケララッパ,825,準速,スカーフ,75,0,190,X,X,X,X,X,O,O,X,X
マホイップ,973,最速,スカーフ,64,0,190,X,X,X,X,X,O,O,X,X
ダグトリオ(原種),58,最速,,120,0,189,O,O,O,O,X,X,X,X,X
スカンプー,482,準速,スカーフ,74,0,189,O,O,O,O,X,X,X,X,X
ワルビル,613,準速,スカーフ,74,0,189,O,O,O,O,X,X,X,X,X
マケンカニ,832,最速,スカーフ,63,0,189,O,O,O,O,X,X,X,X,X
インテレオン,921,最速,,120,0,189,O,X,X,X,X,X,X,X,X
カジリガメ,937,準速,スカーフ,74,0,189,O,O,O,O,X,X,X,X,O
オオニューラ,1017,最速,,120,0,189,O,X,X,X,X,X,X,X,O
ウミトリオ,1081,最速,,120,0,189,O,O,O,O,X,X,X,X,X
パルキア(オリジンフォルム),539,最速,,120,0,189,X,X,X,X,X,X,X,X,X
アルセウス,550,最速,,120,0,189,X,X,X,X,X,X,X,X,X
ジュカイン,295,最速,,120,0,189,X,X,X,X,X,O,O,X,X
ツタージャ,552,最速,スカーフ,63,0,189,X,X,X,X,X,O,O,X,X
メテノ(コア),873,最速,,120,0,189,X,X,X,X,X,O,X,X,X
エースバーン,918,最速,,119,0,188,O,X,X,X,X,X,X,X,X
カマスジョー,950,準速,,136,0,188,O,O,O,O,X,X,X,X,O
テツノツツミ,1115,準速,,136,0,188,O,O,O,O,X,X,X,X,X
トドロクツキ,1130,最速,,119,0,188,O,O,O,O,X,X,X,X,X
クルミル,598,準速,ようりょくそ,42,2,188,X,X,X,X,X,O,X,O,O
クルマユ,599,準速,ようりょくそ,42,2,188,X,X,X,X,X,O,X,O,O
テールナー,731,準速,スカーフ,73,0,187,O,X,X,X,X,X,X,X,X
ヤヤコマ,739,最速,スカーフ,62,0,187,O,O,O,O,X,X,X,X,X
ルチャブル,781,最速,,118,0,187,O,O,O,O,X,X,X,X,X
アママイコ,861,最速,スカーフ,62,0,187,O,O,O,O,X,X,X,X,X
ハルクジラ,1096,準速,スカーフ,73,0,187,O,O,O,O,X,X,X,X,X
ハバタクカミ,1111,準速,,135,0,187,O,O,O,O,X,X,X,X,X
セゴール,1121,最速,スカーフ,62,0,187,O,O,O,O,X,X,X,X,X
パオジアン,1127,準速,,135,0,187,O,O,X,X,X,X,X,X,X
コライドン(バトルフォルム),1132,準速,,135,0,187,X,X,X,X,X,X,X,X,X
ミライドン(バトルフォルム),1134,準速,,135,0,187,X,X,X,X,X,X,X,X,X
カラマネロ,767,準速,スカーフ,73,0,187,X,X,X,X,X,O,O,X,X
バンギラス,289,最速,スカーフ,61,0,186,O,O,O,O,X,X,X,X,X
シシコ,745,準速,スカーフ,72,0,186,O,O,O,O,X,X,X,X,X
アマージョ,862,準速,スカーフ,72,0,186,O,O,O,O,X,X,X,X,X
ダクマ,1000,準速,スカーフ,72,0,186,O,X,X,X,X,X,X,X,X
テツノイバラ,1119,準速,スカーフ,72,0,186,O,O,O,O,X,X,X,X,X
テツノイバラ,1119,準速,クォークチャージ,72,1,186,O,O,O,O,X,X,X,X,X
ヒコザル,436,最速,スカーフ,61,0,186,X,X,X,X,X,O,O,X,X
エンニュート,857,最速,,117,0,185,O,O,O,O,X,X,X,X,O
ガーディ(原種),69,最速,スカーフ,60,0,184,O,O,O,O,X,X,X,X,O
ピチュー,208,最速,スカーフ,60,0,184,O,O,O,O,X,X,X,X,O
アサナン,350,最速,スカーフ,60,0,184,O,O,O,O,X,X,X,X,X
バネブー,368,最速,スカーフ,60,0,184,O,O,O,O,X,X,X,X,O
ドジョッチ,382,最速,スカーフ,60,0,184,O,O,O,O,X,X,X,X,O
ナマズン,383,最速,スカーフ,60,0,184,O,O,O,O,X,X,X,X,O
ムックル,442,最速,スカーフ,60,0,184,O,O,O,O,X,X,X,X,O
ルクシオ,450,最速,スカーフ,60,0,184,O,O,O,O,X,X,X,X,O
ドンカラス,478,準速,スカーフ,71,0,184,O,O,O,O,X,X,X,X,X
リオル,495,最速,スカーフ,60,0,184,O,O,O,O,X,X,X,X,O
リオル,495,最速,ふくつのこころ,60,1,184,O,O,O,O,X,X,X,X,O
ユキノオー,508,最速,スカーフ,60,0,184,O,O,O,O,X,X,X,X,X
ジバコイル,510,最速,スカーフ,60,0,184,O,O,O,O,X,X,X,X,X
フタチマル,559,最速,スカーフ,60,0,184,O,X,X,X,X,X,X,X,X
シビシラス,670,最速,スカーフ,60,0,184,O,O,O,O,X,X,X,X,O
クマシュン,681,準速,ゆきかき,40,2,184,O,O,O,O,X,X,X,X,X
コマタナ,693,最速,スカーフ,60,0,184,O,O,O,O,X,X,X,X,O
ワシボン,696,最速,スカーフ,60,0,184,O,O,O,O,X,X,X,X,X
メラルバ,706,最速,スカーフ,60,0,184,O,O,O,O,X,X,X,X,X
フォッコ,730,最速,スカーフ,60,0,184,O,X,X,X,X,X,X,X,X
ケロマツ,733,準速,スカーフ,71,0,184,O,X,X,X,X,X,X,X,X
ニンフィア,780,最速,スカーフ,60,0,184,O,O,O,O,O,X,X,X,X
ヌメイル(原種),785,最速,スカーフ,60,0,184,O,O,O,O,X,X,X,X,X
ヌメルゴン(ヒスイのすがた),788,最速,スカーフ,60,0,184,O,X,X,X,X,X,X,X,X
ジュナイパー(ヒスイのすがた),817,最速,スカーフ,60,0,184,O,X,X,X,X,X,X,X,X
イワンコ,840,最速,スカーフ,60,0,184,O,O,O,O,X,X,X,X,O
イワンコ,840,最速,ふくつのこころ,60,1,184,O,O,O,O,X,X,X,X,O
ヤレユータン,864,最速,スカーフ,60,0,184,O,O,O,O,X,X,X,X,X
サダイジャ,947,準速,スカーフ,71,0,184,O,O,O,O,X,X,X,X,X
オーロンゲ,965,最速,スカーフ,60,0,184,O,O,O,O,X,X,X,X,O
レジエレキ,1004,最遅,,200,0,184,O,X,X,X,X,X,X,X,X
パモ,1037,最速,スカーフ,60,0,184,O,O,O,O,X,X,X,X,X
アノクサ,1066,最速,スカーフ,60,0,184,O,O,O,O,X,X,X,X,X
キラーメ,1090,最速,スカーフ,60,0,184,O,O,O,O,X,X,X,X,O
リキキリン,1104,最速,スカーフ,60,0,184,O,O,O,O,X,X,X,X,X
テツノブジン,1131,最速,,116,0,184,O,O,O,O,X,X,X,X,X
フシギソウ,1,最速,スカーフ,60,0,184,X,X,X,X,X,O,O,X,X
サンド(原種),29,準速,すなかき,40,2,184,X,X,X,X,X,O,X,O,O
サンド(アローラのすがた),30,準速,ゆきかき,40,2,184,X,X,X,X,X,O,X,O,O
ピクシー,40,最速,スカーフ,60,0,184,X,X,X,X,X,O,X,O,O
クサイハナ,50,準速,ようりょくそ,40,2,184,X,X,X,X,X,O,O,X,X
マダツボミ,82,準速,ようりょくそ,40,2,184,X,X,X,X,X,O,X,O,O
タマタマ,127,準速,ようりょくそ,40,2,184,X,X,X,X,X,O,O,X,X
マタドガス(原種),137,最速,スカーフ,60,0,184,X,X,X,X,X,O,X,O,O
マタドガス(ガラルのすがた),138,最速,スカーフ,60,0,184,X,X,X,X,X,O,X,O,O
タッツー,144,最速,スカーフ,60,0,184,X,X,X,X,X,O,O,X,X
ラプラス,163,最速,スカーフ,60,0,184,X,X,X,X,X,O,O,X,X
ベイリーフ,188,最速,スカーフ,60,0,184,X,X,X,X,X,O,O,X,X
ポリゴン2,274,最速,スカーフ,60,0,184,X,X,X,X,X,O,X,X,X
ラグラージ,301,最速,スカーフ,60,0,184,X,X,X,X,X,O,O,X,X
コノハナ,317,最速,スカーフ,60,0,184,X,X,X,X,X,O,X,O,O
エンペルト,441,最速,スカーフ,60,0,184,X,X,X,X,X,O,O,X,X
ゼブライカ,581,最速,,116,0,184,X,X,X,X,X,O,O,X,X
エルフーン,605,最速,,116,0,184,X,X,X,X,X,O,O,X,X
バルチャイ,699,最速,スカーフ,60,0,184,X,X,X,X,X,O,X,O,O
ガオガエン,820,最速,スカーフ,60,0,184,X,X,X,X,X,O,O,X,X
アシレーヌ,823,最速,スカーフ,60,0,184,X,X,X,X,X,O,O,X,X
ドデカバシ,826,最速,スカーフ,60,0,184,X,X,X,X,X,O,O,X,X
ペルシアン(原種),63,最速,,115,0,183,O,O,O,O,X,X,X,X,X
ペルシアン(アローラのすがた),64,最速,,115,0,183,O,X,X,X,X,X,X,X,X
マンキー,67,準速,スカーフ,70,0,183,O,O,O,O,X,X,X,X,O
レアコイル,102,準速,スカーフ,70,0,183,O,O,O,O,X,X,X,X,X
パルシェン,114,準速,スカーフ,70,0,183,O,O,O,O,X,X,X,X,X
ハクリュー,183,準速,スカーフ,70,0,183,O,O,O,O,X,X,X,X,X
ニューラ(原種),254,最速,,115,0,183,O,O,O,O,X,X,X,X,O
ニューラ(ヒスイのすがた),255,最速,,115,0,183,O,X,X,X,X,X,X,X,O
キノガッサ,329,準速,スカーフ,70,0,183,O,O,O,O,X,X,X,X,X
レントラー,451,準速,スカーフ,70,0,183,O,O,O,O,X,X,X,X,O
ミツハニー,463,準速,スカーフ,70,0,183,O,O,O,O,X,X,X,X,X
フローゼル,467,最速,,115,0,183,O,O,O,O,X,X,X,X,X
フワンテ,473,準速,スカーフ,70,0,183,O,O,O,O,X,X,X,X,X
アグノム,535,最速,,115,0,183,O,X,X,X,X,X,X,X,X
ダイケンキ(原種),560,準速,スカーフ,70,0,183,O,X,X,X,X,X,X,X,X
ゾロア(ヒスイのすがた),637,準速,スカーフ,70,0,183,O,X,X,X,X,X,X,X,X
キリキザン,694,準速,スカーフ,70,0,183,O,O,O,O,X,X,X,X,O
ブロスター,773,最速,スカーフ,59,0,183,O,O,O,O,X,X,X,X,X
ジュナイパー(原種),816,準速,スカーフ,70,0,183,O,X,X,X,X,X,X,X,X
メッソン,919,準速,スカーフ,70,0,183,O,X,X,X,X,X,X,X,X
アップリュー,944,準速,スカーフ,70,0,183,O,O,O,O,X,X,X,X,O
ポットデス,959,準速,スカーフ,70,0,183,O,O,O,O,X,X,X,X,X
ギモー,964,準速,スカーフ,70,0,183,O,O,O,O,X,X,X,X,O
イシヘンジン,978,準速,スカーフ,70,0,183,O,O,O,O,X,X,X,X,X
カイデン,1060,準速,スカーフ,70,0,183,O,O,O,O,X,X,X,X,X
ノノクラゲ,1068,準速,スカーフ,70,0,183,O,O,O,O,X,X,X,X,O
ミガルーサ,1097,準速,スカーフ,70,0,183,O,O,O,O,X,X,X,X,X
チオンジェン,1126,準速,スカーフ,70,0,183,O,O,X,X,X,X,X,X,X
フーパ(いましめられしフーパ),811,準速,スカーフ,70,0,183,X,X,X,X,X,X,X,X,X
ボルケニオン,813,準速,スカーフ,70,0,183,X,X,X,X,X,X,X,X,X
ニョロボン,75,準速,スカーフ,70,0,183,X,X,X,X,X,O,X,O,O
ウツボット,84,準速,スカーフ,70,0,183,X,X,X,X,X,O,X,O,O
メノクラゲ,85,準速,スカーフ,70,0,183,X,X,X,X,X,O,X,O,O
ジュゴン,108,準速,スカーフ,70,0,183,X,X,X,X,X,O,O,X,X
ヨルノズク,200,準速,スカーフ,70,0,183,X,X,X,X,X,O,X,O,O
ニョロトノ,222,準速,スカーフ,70,0,183,X,X,X,X,X,O,X,O,O
エアームド,268,準速,スカーフ,70,0,183,X,X,X,X,X,O,O,X,X
カポエラー,278,準速,スカーフ,70,0,183,X,X,X,X,X,O,O,X,X
カポエラー,278,準速,ふくつのこころ,70,1,183,X,X,X,X,X,O,O,X,X
キモリ,293,準速,スカーフ,70,0,183,X,X,X,X,X,O,O,X,X
グラエナ,303,準速,スカーフ,70,0,183,X,X,X,X,X,O,X,O,O
グラエナ,303,準速,はやあし,70,1,183,X,X,X,X,X,O,X,O,O
ルンパッパ,315,準速,スカーフ,70,0,183,X,X,X,X,X,O,X,O,O
ビブラーバ,372,準速,スカーフ,70,0,183,X,X,X,X,X,O,O,X,X
メタグロス,419,準速,スカーフ,70,0,183,X,X,X,X,X,O,O,X,X
エテボース,472,最速,,115,0,183,X,X,X,X,X,O,X,O,O
チラチーノ,641,最速,,115,0,183,X,X,X,X,X,O,O,X,X
ニャビー,818,準速,スカーフ,70,0,183,X,X,X,X,X,O,O,X,X
ヤバソチャ,1140,準速,スカーフ,70,0,183,O,X,X,X,X,O,X,O,O
サンダース,167,準速,,130,0,182,O,O,O,O,O,X,X,X,X
コオリッポ(ナイスフェイス),980,準速,,130,0,182,O,O,O,O,X,X,X,X,X
レイスポス,1007,準速,,130,0,182,O,X,X,X,X,X,X,X,X
ミュウツー,185,準速,,130,0,182,X,X,X,X,X,X,X,X,X
ムゲンダイナ(通常),998,準速,,130,0,182,X,X,X,X,X,X,X,X,X
ジヘッド,704,最速,スカーフ,58,0,181,O,O,O,O,X,X,X,X,X
ヒバニー,916,準速,スカーフ,69,0,181,O,X,X,X,X,X,X,X,X
カヌチャン,1077,最速,スカーフ,58,0,181,O,O,O,O,X,X,X,X,X
カメール,7,最速,スカーフ,58,0,181,X,X,X,X,X,O,O,X,X
アリゲイツ,195,最速,スカーフ,58,0,181,X,X,X,X,X,O,O,X,X
ズガイドス,454,最速,スカーフ,58,0,181,X,X,X,X,X,O,O,X,X
ラムパルド,455,最速,スカーフ,58,0,181,X,X,X,X,X,O,O,X,X
ジャローダ,554,最速,,113,0,181,X,X,X,X,X,O,O,X,X
ズルズキン,625,最速,スカーフ,58,0,181,X,X,X,X,X,O,X,X,X
ヒマナッツ,227,最速,ようりょくそ,30,2,180,O,O,O,O,X,X,X,X,X
キマワリ,228,最速,ようりょくそ,30,2,180,O,O,O,O,X,X,X,X,X
チュリネ,606,最速,ようりょくそ,30,2,180,O,O,O,O,X,X,X,X,O
