実数値,育て方,種族値,ポケモン,特性,アイコンID,ランク,D,C,A,B,イーブイ,DLC,IV,EV,性格,アイコン名
184,最速,60,ドジョッチ,,1x4c04hjQ2wkaDjoTwrkhgyljSnBwiUV-,1,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_339
184,最速,60,ナマズン,,1zVNS8UPNVrt9so8KXD7xNVPCSZm50U2h,1,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_340
#N/A,最速,#N/A,ヌメイル,,#N/A,1,#N/A,,,,,X,31,252,1.1,#N/A
184,最速,60,ニンフィア,,1ffUHuKdCW2fXNrCgeBU026dVHwk4Um9r,1,O,O,O,O,O,X,31,252,1.1,Pokémon-Icon_700
184,最速,60,リキキリン,,1CgiOFiPB7E7YSgd953Cs4njYf6TJLcuO,1,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_981
184,最速,60,ジバコイル,,1MHy9DRbfETgRrcbUz6_Q8Q4odL4f4K8E,1,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_462
#N/A,最速,#N/A,ガーディ,,#N/A,1,#N/A,,,,,X,31,252,1.1,#N/A
184,最速,60,アノクサ,,1piKiHL1VKJ_SOhKdcLazlnAe7O6lrqpo,1,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_946
184,最速,60,メラルバ,,1YZGZVfbpopp9wOLQPxfngHkgrowLDeZF,1,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_636
184,最速,60,オーロンゲ,,1SmQL_GvmczOfd6gtBgsDw1RKcn5htcvf,1,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_861
184,最速,60,キラーメ,,1Se7GwfJFRe0nDDV2y3AGuKZeeNdJ8jeZ,1,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_969
184,最速,60,ヤレユータン,,1HaSNEtfxOQKJrgDydYd_Cwf3eN-JSQ9S,1,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_765
184,最速,60,シビシラス,,1yyUmafVOV_jbXON5fKWNu211Pp0WhsYI,1,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_602
184,最速,60,ユキノオー,,1nvW6sIf5aBOMELxOrBP2oC32I6NC5-eE,1,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_460
184,最速,60,ワシボン,,1AO51tp3tZvy6u7z5VO0odyh7yQ20dst-,1,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_627
184,最速,60,コマタナ,,1cBBzisCJBUrA-eW4J7SqwXkFtdX-kaM0,1,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_624
184,準速,40,クマシュン,ゆきかき,1OLi2qHtXnx2DQUaDy27iTZTogJO27T_w,2,O,O,O,O,X,X,31,252,1,Pokémon-Icon_613
184,最速,60,コノハナ,,13E0If0r5-F7bVPR62pu1mx8Ebr7CxUU_,1,X,X,X,X,X,O,31,252,1.1,Pokémon-Icon_274
184,最速,116,エルフーン,,1ghRexwCvFS7tpp90SqdFDZrwezs6EBFR,0,X,X,X,X,X,O,31,252,1.1,Pokémon-Icon_547
184,最速,116,ゼブライカ,,14yIhHM8Swx9h0ABV4045g4mEJMIW_DkK,0,X,X,X,X,X,O,31,252,1.1,Pokémon-Icon_523
183,最速,115,ペルシアン(アローラのすがた),,1MykV45zD1y5qPELZSOh28uDFu9UE0syZ,0,O,X,X,X,X,X,31,252,1.1,Pokémon-Icon_053a
183,最速,115,ニューラ(ヒスイのすがた),,1pCM_lrghGQuY79mI5m1RVk8K_6qBpaOK,0,O,X,X,X,X,X,31,252,1.1,Pokémon-Icon_215a
183,最速,115,アグノム,,1Sf0EkKHy6x2IxZhr_DdeTimDzkMXoH0U,0,O,X,X,X,X,X,31,252,1.1,Pokémon-Icon_482
183,最速,115,フローゼル,,1ziwICzWn1FQBgKHtEF1SDnF6HPY639fE,0,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_419
#N/A,最速,#N/A,ペルシアン,,#N/A,0,#N/A,,,,,X,31,252,1.1,#N/A
#N/A,最速,#N/A,ニューラ,,#N/A,0,#N/A,,,,,X,31,252,1.1,#N/A
#N/A,準速,#N/A,ダイケンキ,,#N/A,1,#N/A,,,,,X,31,252,1,#N/A
183,準速,70,ゾロア(ヒスイのすがた),,1bnAQQLKhNRRJXujiouwV9lyzmUNlbzCi,1,O,X,X,X,X,X,31,252,1,Pokémon-Icon_570a
183,準速,70,フーパ(いましめられしフーパ),,1svbHy2OC0nzxBQlGj7uN16d_iLFUqLqs,1,X,X,X,X,X,X,31,252,1,Pokémon-Icon_720a
183,準速,70,ボルケニオン,,1-fq7XFOhk3hpVWmkscFL9qazdY0BgOlO,1,X,X,X,X,X,X,31,252,1,Pokémon-Icon_721
#N/A,準速,#N/A,ジュナイパー,,#N/A,1,O,X,X,X,X,X,31,252,1,#N/A
183,準速,70,メッソン,,1ENfeh7BA6sOwn3mBAApnemiP3WWcj9ZO,1,O,X,X,X,X,X,31,252,1,Pokémon-Icon_816
183,準速,70,ミツハニー,,1usiuWQ4jAHZYRcts5IkgKLMQ-kyo_qjo,1,O,O,O,O,X,X,31,252,1,Pokémon-Icon_415
183,準速,70,レントラー,,1oaHVW_BYimvpacwjw37nb74cbRidxV4_,1,O,O,O,O,X,X,31,252,1,Pokémon-Icon_405
183,準速,70,キノガッサ,,1KRgOy_Ro4CYa8Rdx20jRRWT7JlOX0FbT,1,O,O,O,O,X,X,31,252,1,Pokémon-Icon_286
183,準速,70,アップリュー,,18twn_ZuqgI9DIKBSaVYXYqTRjcIoE4NL,1,O,O,O,O,X,X,31,252,1,Pokémon-Icon_841
183,準速,70,フワンテ,,1fGn9zpbTbWon7EGRTTEBP4UHyC0S-p5E,1,O,O,O,O,X,X,31,252,1,Pokémon-Icon_425
183,準速,70,マンキー,,1R_TSAcbBGOEWulpRpsHhPYIjD90djETH,1,O,O,O,O,X,X,31,252,1,Pokémon-Icon_056
183,準速,70,カイデン,,1pNRSHb_Mat5OeSphCK-hiY4gudZwOjfr,1,O,O,O,O,X,X,31,252,1,Pokémon-Icon_940
183,準速,70,レアコイル,,1BCJ79j9VPhQDaB1AWXl0yNG2jbZ4IsYi,1,O,O,O,O,X,X,31,252,1,Pokémon-Icon_082
183,準速,70,ポットデス,,1thEEr1FZvb-kaokQEfPuXVl5aPpBJa6w,1,O,O,O,O,X,X,31,252,1,Pokémon-Icon_855
183,準速,70,ノノクラゲ,,1nJWYMJvcs1cKlAHYRvX3IUBZOZVk7ukb,1,O,O,O,O,X,X,31,252,1,Pokémon-Icon_948
183,準速,70,ギモー,,1JHrdqglxXhXaqz4JWmgYgebxnXgZQMVI,1,O,O,O,O,X,X,31,252,1,Pokémon-Icon_860
183,準速,70,イシヘンジン,,19mdG_ULI3lZtTtUE-1Keno-29PNpSfsl,1,O,O,O,O,X,X,31,252,1,Pokémon-Icon_874
183,準速,70,パルシェン,,1YlWVgT3kG0hLgTjdaKX20H14uYFFA2zB,1,O,O,O,O,X,X,31,252,1,Pokémon-Icon_091
183,準速,70,ハクリュー,,11ZZET6FPHbiZNDyOD_iCeCnOEMjrw7mf,1,O,O,O,O,X,X,31,252,1,Pokémon-Icon_148
183,準速,70,キリキザン,,1swB4tOUUJj_PtCvE045PDMb-FLnB7W12,1,O,O,O,O,X,X,31,252,1,Pokémon-Icon_625
183,準速,70,ミガルーサ,,1B4ibBOZ3DE0JEhNtrMv6Q-BvAqwWSg01,1,O,O,O,O,X,X,31,252,1,Pokémon-Icon_976
183,準速,70,チオンジェン,,1Zntyp8uRiVFoHcu11vFXfG0ZFdwTigug,1,O,O,X,X,X,X,31,252,1,Pokémon-Icon_1001
183,最速,59,ブロスター,,1B2LALayiw6Zzu3m33TIA3yHcdMB5Qq8b,1,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_693
183,最速,115,チラチーノ,,1MbiTW47IxUh62vVEQQJ8NlBIf2Ua1zK8,0,X,X,X,X,X,O,31,252,1.1,Pokémon-Icon_573
183,最速,115,エテボース,,1sCoMlbUXL-lIWxP86SGNGB8y8ATsHu8w,0,X,X,X,X,X,O,31,252,1.1,Pokémon-Icon_424
182,準速,130,ミュウツー,,1umzu-rQrH7kVkP4CEYDYnurMQWheEJUL,0,X,X,X,X,X,X,31,252,1,Pokémon-Icon_150
#N/A,準速,#N/A,ムゲンダイナ,,#N/A,0,#N/A,,,,,X,31,252,1,#N/A
182,準速,130,レイスポス,,1MvX1sIMgD9J3WF7-lRrrNPBC1maa5y-z,0,O,X,X,X,X,X,31,252,1,Pokémon-Icon_897
182,準速,130,サンダース,,1wvDPJsOFZkUtkrBlg3P-zELA4gdmEAWe,0,O,O,O,O,O,X,31,252,1,Pokémon-Icon_135
182,準速,130,コオリッポ(ナイスフェイス),,1kB1ow3P_2_hnrDYYdQ3UeRc0guw8wUMp,0,O,O,O,O,X,X,31,252,1,Pokémon-Icon_875a
181,準速,69,ヒバニー,,1e1gRx6NNihgidVyL59K3wcwIOG6M7v02,1,O,X,X,X,X,X,31,252,1,Pokémon-Icon_813
181,最速,58,カヌチャン,,1cvpKYGH8zJI5xKJmtdm-LZYu9x4Vg-7j,1,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_957
181,最速,58,ジヘッド,,1ynT0f2beNLTeihKD-8UafQ93Dnz-vqAT,1,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_634
180,準速,128,メロエッタ(ステップフォルム),,1dTZtN-rvjkf6KotaKVasL68cXiv-axHQ,0,X,X,X,X,X,X,31,252,1,Pokémon-Icon_648
180,準速,128,ザマゼンタ(たてのおう),,14ejaEN4Ex3_LnwjDOv0tfdBS6LzApGSm,0,X,X,X,X,X,X,31,252,1,Pokémon-Icon_889
180,最速,112,ルガルガン(まひるのすがた),,1rgxUnI76--3kCfRG_pSCN7gbt50IjZKk,0,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_745
180,無振り,70,フワンテ,かるわざ,1fGn9zpbTbWon7EGRTTEBP4UHyC0S-p5E,2,O,O,O,O,X,X,31,0,1,Pokémon-Icon_425
180,無振り,70,ポットデス,くだけるよろい,1thEEr1FZvb-kaokQEfPuXVl5aPpBJa6w,2,O,O,O,O,X,X,31,0,1,Pokémon-Icon_855
180,準速,68,ゴーゴート,,1A1oYhoTbzRJ5uwKZhPc9FUW9buxNzbpD,1,O,O,O,O,X,X,31,252,1,Pokémon-Icon_673
180,準速,68,ハカドッグ,,16rpnQcsEJOAKvNU--qF_sTODxTk-wsL2,1,O,O,O,O,X,X,31,252,1,Pokémon-Icon_972
180,最速,30,ヒマナッツ,ようりょくそ,1ne1-_E5Oie3gubXCyQvVrg9QoPK4wo7R,2,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_191
180,最速,30,キマワリ,ようりょくそ,1czOLDGFBxm_LJCCvCYs3C2KQ2m1dUAju,2,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_192
180,最速,30,チュリネ,ようりょくそ,187dOTvpKa8LVch2G7WLMMaQIYRQOGAXi,2,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_548
180,最速,30,タネボー,ようりょくそ,1PXhddeEhYSrLrsfwcGbEYpU36DHNmX8n,2,X,X,X,X,X,O,31,252,1.1,Pokémon-Icon_273
179,最速,111,トルネロス(けしんフォルム),,1vgk5r3d9Oil8OMl5sES_V4X6gqzLUdWJ,0,O,X,X,X,X,X,31,252,1.1,Pokémon-Icon_641
179,最速,111,ボルトロス(けしんフォルム),,1uPx1ukRwWU1_9-dNfurGkh-plQCPTRST,0,O,X,X,X,X,X,31,252,1.1,Pokémon-Icon_642
179,最速,111,イッカネズミ(3びきかぞく),,1cvKu6M1Qutmhq15mPzIl3wfAgMfxYrGR,0,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_925
179,最速,111,イッカネズミ(4ひきかぞく),,1s9sEvmZzi7Piz57vwt-RUOQm14wtjM4R,0,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_925a
179,最速,111,サケブシッポ,,14XkoZPxiN1QxPkgtp8UatUtCZq4clnsg,0,O,O,O,X,X,X,31,252,1.1,Pokémon-Icon_985
178,準速,126,ファイアロー,,1CBVSeZJdHu0QwyUmcJLsjUN7zeU_f29U,0,O,O,O,O,X,X,31,252,1,Pokémon-Icon_663
178,最速,110,ライチュウ(アローラのすがた),,1QSJTjBbWHc_4lewKzO0USv9Zq0KnL5tB,0,O,X,X,X,X,X,31,252,1.1,Pokémon-Icon_026a
178,最速,110,ダグトリオ(アローラのすがた),,1U7FVj9uo-esM_tquBIiSTfvOiYYGaE9K,0,O,X,X,X,X,X,31,252,1.1,Pokémon-Icon_051a
178,最速,110,ゾロアーク(ヒスイのすがた),,1WiFBaKHehtTv-lu-GsklqFlV1c9N7Kbw,0,O,X,X,X,X,X,31,252,1.1,Pokémon-Icon_571a
178,最速,110,ワタッコ,,1vSnBPxmfYUoP_5vqk4eQzNNTYy-8QFD8,0,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_189
178,最速,110,ゲンガー,,1t4eQ-nHU_wlcu6S7iI4sq8Fn1R1z7FRW,0,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_094
#N/A,最速,#N/A,ライチュウ,,#N/A,0,#N/A,,,,,X,31,252,1.1,#N/A
178,最速,110,ルガルガン(たそがれのすがた),,1t6yql2JC3fhbdkFnuG_4Nv91qsC7pp0H,0,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_745a
178,最速,110,エーフィ,,1V23N5p0FV_tpvd9po84wBemZ5lLScWk6,0,O,O,O,O,O,X,31,252,1.1,Pokémon-Icon_196
178,最速,110,タギングル,,1g1M1ZqVZ2rfS-PN60HPNE6RpV-rNyt5F,0,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_945
#N/A,最速,#N/A,ケンタロス,,#N/A,0,#N/A,,,,,X,31,252,1.1,#N/A
178,最速,110,ユキメノコ,,15ioprpkWakmn9Pa6wrF2c00ob6Zmh5K3,0,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_478
178,最速,110,テツノドクガ,,1arivP4ie7WbaD6sBQe7ExW0pApO3u1Wz,0,O,O,O,X,X,X,31,252,1.1,Pokémon-Icon_994
178,準速,67,アーマーガア,,1rhmMPAJypsALmqyPhEZXrazGNb74Q_AM,1,O,O,O,O,X,X,31,252,1,Pokémon-Icon_823
178,準速,67,スリーパー,,1QQ--pAuiS5xYYzgoBq_4ZKWMGEskssoY,1,O,O,O,O,X,X,31,252,1,Pokémon-Icon_097
178,準速,67,オノンド,,1d22Z39w_zLECEPW4jk4MJtYK6R32mCwX,1,O,O,O,O,X,X,31,252,1,Pokémon-Icon_611
178,最速,57,ハリボーグ,,1tou42NznSpREbNR3wdYRlHehUmY7d231,1,O,X,X,X,X,X,31,252,1.1,Pokémon-Icon_651
178,最速,57,ココガラ,,1y8EtNbjLxtib7eBZjtc7vwMAWkmROPir,1,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_821
178,最速,57,キバゴ,,1F9tcb3t-lZiM9kI2Rbp6S_hWjEVICDVY,1,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_610
177,準速,125,タイカイデン,,1wFHtiyI8QTZuu1TTZOZBB4b3fStSFJ7T,0,O,O,O,O,X,X,31,252,1,Pokémon-Icon_941
177,準速,125,マニューラ,,1Io78CdZVQU3uUGyBkDymFB9mIRFsV9pn,0,O,O,O,O,X,X,31,252,1,Pokémon-Icon_461
177,最速,109,ウネルミナモ,,15YkSIg_vCvj_a4vwrw_QBs2DtwnB-q-C,0,X,X,X,X,X,X,31,252,1.1,Pokémon-Icon_1009
177,準速,66,ラウドボーン,,1ikRPZLK0KmJqZj9CjQdlfzKU_UY5V2W8,1,O,O,O,O,X,X,31,252,1,Pokémon-Icon_911
177,準速,66,サシカマス,,1Uv3wrw8AZHu9KwOa_bnkjIlvMSBEyZjl,1,O,O,O,O,X,X,31,252,1,Pokémon-Icon_846
177,準速,66,ケイコウオ,,1QkM84cxaQ-K5vkaFgoCe3k8TO6m5Q9Mr,1,O,O,O,O,X,X,31,252,1,Pokémon-Icon_456
177,最速,109,キュウコン(アローラのすがた),,1jHUEGmorEL4FmY1b0OHRN7Y6L7Kws7aL,0,X,X,X,X,X,O,31,252,1.1,Pokémon-Icon_038a
176,最速,108,テツノコウベ,,1yj6SNTN-nun-0AWs90_HmkyeKw0fIoDT,0,O,O,O,X,X,X,31,252,1.1,Pokémon-Icon_993
176,無振り,68,ハカドッグ,すなかき,16rpnQcsEJOAKvNU--qF_sTODxTk-wsL2,2,O,O,O,O,X,X,31,0,1,Pokémon-Icon_972
175,準速,123,マスカーニャ,,13vUHZSKmepTJCHmUQm6-OptB9grAIVG2,0,O,O,O,O,X,X,31,252,1,Pokémon-Icon_908
175,準速,123,オンバーン,,1rUSeQs8eTjwPgIpl2rvurAg3LVEW4DwX,0,O,O,O,O,X,X,31,252,1,Pokémon-Icon_715
175,準速,65,ヒトカゲ,,10sRbpMS5T5bxeQg-Js6UGolvc36Z3FUe,1,O,X,X,X,X,X,31,252,1,Pokémon-Icon_004
175,準速,65,ヒノアラシ,,1LZ2zxgST_7GmRJqHjpzuwzc9uj5oAlff,1,O,X,X,X,X,X,31,252,1,Pokémon-Icon_155
175,準速,65,ウォーグル(ヒスイのすがた),,1oiEOrsaJr9k_uQ9b-5KLRI175_xKv4BZ,1,O,X,X,X,X,X,31,252,1,Pokémon-Icon_628a
175,準速,65,マギアナ,,1ZCm3vATHDf1ehFA70_tgvuzeQXQaqXiE,1,X,X,X,X,X,X,31,252,1,Pokémon-Icon_801
175,準速,65,サルノリ,,14FXcYnUUB6yB9OnezEZhRrwEGQj66QVp,1,O,X,X,X,X,X,31,252,1,Pokémon-Icon_810
175,準速,65,アヤシシ,,16J5Wj3-zEakl0mVAQKXE_1by5YkfV2OK,1,O,X,X,X,X,X,31,252,1,Pokémon-Icon_899
175,準速,65,ニャオハ,,1_noUKecMQGeiu5LgzBsbcRCDifSD_mjJ,1,O,O,O,O,X,X,31,252,1,Pokémon-Icon_906
175,準速,65,ウェルカモ,,1YRBZEmVRJ193-4r09850f9NsImQ9eevG,1,O,O,O,O,X,X,31,252,1,Pokémon-Icon_913
175,準速,65,パフュートン(オスのすがた),,1eIL64NJs47Bzuo7iUja1jLogmKL2Ius7,1,O,O,O,O,X,X,31,252,1,Pokémon-Icon_916
175,準速,65,パフュートン(メスのすがた),,1lbdFQXISIUftZYKW1xRTs0oE34QiLIPA,1,O,O,O,O,X,X,31,252,1,Pokémon-Icon_916a
175,準速,65,デルビル,,1iEdc9fo2AUBXr_aq1Z7i2TkqzF2Z1Kf3,1,O,O,O,O,X,X,31,252,1,Pokémon-Icon_228
175,準速,65,コロトック,,1tIiiQIM18XVJnDptgPJLAGoGHCkWdJYn,1,O,O,O,O,X,X,31,252,1,Pokémon-Icon_402
175,準速,65,アメタマ,,1uHj0UkMod3m29PSlMQH1HR3lEirrmtkb,1,O,O,O,O,X,X,31,252,1,Pokémon-Icon_283
175,準速,65,パピモッチ,,1Z26I-y0lUL5ZHJwIX43TuXwtOslkJi7J,1,O,O,O,O,X,X,31,252,1,Pokémon-Icon_926
175,準速,65,ペリッパー,,1VI4DUheCh_8IKHtNUoxcx_pMJVcQ40uu,1,O,O,O,O,X,X,31,252,1,Pokémon-Icon_279
175,準速,65,シャワーズ,,1PyJG1AuInHTjIE27wLdjJGwwnykYQDjZ,1,O,O,O,O,O,X,31,252,1,Pokémon-Icon_134
175,準速,65,ブースター,,1S_yLTTu2yEC0kvIjxlW3VeFXlPKIDjeN,1,O,O,O,O,O,X,31,252,1,Pokémon-Icon_136
175,準速,65,ブラッキー,,16wgu7isw6lfA_v0yG_8HtzfHNzb_U3ln,1,O,O,O,O,O,X,31,252,1,Pokémon-Icon_197
175,準速,65,グレイシア,,1CGIusbU8Mohjlf-7JoxklDFwlZrNvdOy,1,O,O,O,O,O,X,31,252,1,Pokémon-Icon_471
175,準速,65,ハブネーク,,1nUc02dkMTKWaelp8FjpbhKqwVKMOUIpk,1,O,O,O,O,X,X,31,252,1,Pokémon-Icon_336
#N/A,準速,#N/A,ゾロア,,#N/A,1,#N/A,,,,,X,31,252,1,#N/A
175,準速,65,ゴチルゼル,,1k_oFWBx9FKI3guoI6771nKkYqcuegdOW,1,O,O,O,O,X,X,31,252,1,Pokémon-Icon_576
175,準速,65,ハッサム,,1GOzGXtB2FiKvQyMpfGu2SEy7IBjGhSgZ,1,O,O,O,O,X,X,31,252,1,Pokémon-Icon_212
175,準速,65,メグロコ,,10RN3YkwRU7v5wWH0rLLXG1QgkJhSBuho,1,O,O,O,O,X,X,31,252,1,Pokémon-Icon_551
175,準速,65,ミミズズ,,1rUcDkMpLyMDjPkxGUI-HgHpxNqSt74Kj,1,O,O,O,O,X,X,31,252,1,Pokémon-Icon_968
175,準速,65,ジュペッタ,,1gSfRH2-CjE37vzqNIzah3wZvCQBLqqX8,1,O,O,O,O,X,X,31,252,1,Pokémon-Icon_354
175,準速,65,ネッコアラ,,1Z0ETUnqplQtMG7dwDNpZgMSkIA_vqjIH,1,O,O,O,O,X,X,31,252,1,Pokémon-Icon_775
175,準速,65,ママンボウ,,1JQga37-x3HHQS23JXi6EX0hU62Q51Twe,1,O,O,O,O,X,X,31,252,1,Pokémon-Icon_594
175,準速,65,モスノウ,,1hBwAVWUajaAir3kw13ZKI2t8RgllswMp,1,O,O,O,O,X,X,31,252,1,Pokémon-Icon_873
175,最速,55,ガーディ(ヒスイのすがた),,1-TGvDVJ-9q2kjtBvYp7HTZ5owNEi_8yp,1,O,X,X,X,X,X,31,252,1.1,Pokémon-Icon_058a
175,最速,55,ハピナス,,1aRrDZQpMT4aUmXq2SsR5m4sr6on20AbE,1,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_242
175,最速,55,コダック,,1DPzZBKDsPPf3CA4iqPShoBtCn57Uu0q_,1,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_054
175,最速,55,デンリュウ,,1BINsjbh94mmJcC9wh8wrYG6F3NSkq8Xi,1,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_181
175,最速,55,マルノーム,,1ZSMbENGJ-BIDJJuwljOR9f5GLlFUGhfr,1,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_317
175,最速,55,イーブイ,,16w6_022P3VcJEWDwatIk8dPp-yNt7MNY,1,O,O,O,O,O,X,31,252,1.1,Pokémon-Icon_133
175,最速,55,ノココッチ(ふたふしフォルム),,1i7ZtyP6aawdRJ1ZCNZ5jsxB0ujoijH7p,1,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_982
175,最速,55,ノココッチ(みつふしフォルム),,1K-bFM0WnP298psJZDSn_zvcGeoWfuTpw,1,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_982a
175,最速,55,リングマ,,1QOh-P-JqY4YSdUsZypXpEuWCo4npZEEp,1,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_217
175,最速,55,ゴチミル,,1KhlZk40o9gU4qzneNJvnHL4ZD8gd2ty2,1,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_575
175,最速,55,ノクタス,,1_CJWrKqv_Z98hQQqyzEqoeWXvPXoGHVW,1,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_332
175,最速,55,オンバット,,1NSUUVm9SwOKl-otyusBjKx5WMMumcJqs,1,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_714
175,最速,55,アラブルタケ,,1PmswfcdIxunMqyAo1EyjKxdqM7C9xjl5,1,O,O,O,X,X,X,31,252,1.1,Pokémon-Icon_986
175,最速,55,セビエ,,1Ij7sCSQldoTHBKaw0BDie47fq5XhX1d6,1,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_996
#N/A,最速,#N/A,ナッシー,,#N/A,1,X,X,X,X,X,O,31,252,1.1,#N/A
175,最速,55,ゴルーグ,,1gJYRS4DDwA4z4hA2p3NT9NsbzKDHDk9O,1,X,X,X,X,X,O,31,252,1.1,Pokémon-Icon_623
175,最速,55,シザリガー,,1ExAHcvoG1snMsHZJnBXIeqwReBf46WOj,1,X,X,X,X,X,O,31,252,1.1,Pokémon-Icon_342
#N/A,準速,#N/A,ゲッコウガ,,#N/A,0,#N/A,,,,,X,31,252,1,#N/A
174,準速,64,ブリガロン,,18x-515ZMfWj0YE4SYs6pyWuauPKWN6_y,1,O,X,X,X,X,X,31,252,1,Pokémon-Icon_652
173,準速,121,トルネロス(れいじゅうフォルム),,18iYJXUEbC7vilO66rOwg_WxL0Bi514pl,0,O,X,X,X,X,X,31,252,1,Pokémon-Icon_641a
173,準速,121,モトトカゲ,,17Ka6jTLT1bcXC0WyM_ckuzx_PGDe2-gb,0,O,O,O,O,X,X,31,252,1,Pokémon-Icon_967
173,最速,106,ラブトロス(けしんフォルム),,1y7IbuaSngSIsX3-LoE-xwfDgpHAkjp1n,0,O,X,X,X,X,X,31,252,1.1,Pokémon-Icon_905
173,最速,106,カエンジシ,,1JVRe2AhdilAysqANhOQpT5DvHIO917re,0,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_668
173,最速,106,テツノワダチ,,1LLaw5MH_gSZmSgREtwvwIjJG1UhWLlOu,0,O,O,O,X,X,X,31,252,1.1,Pokémon-Icon_990
#N/A,準速,#N/A,パルキア(オリジン),,#N/A,0,#N/A,,,,,X,31,252,1,#N/A
172,準速,120,アルセウス,,18GueDoCLERZb4fkHdOS0227Kq4R79IA7,0,X,X,X,X,X,X,31,252,1,Pokémon-Icon_493
172,準速,120,インテレオン,,1eu3Z4oNvJKzyI2olvADHCZsYe6lalIJ_,0,O,X,X,X,X,X,31,252,1,Pokémon-Icon_818
172,準速,120,オオニューラ,,1ukirOhDr8blvSf4SxpR26zBYqL1z55pb,0,O,X,X,X,X,X,31,252,1,Pokémon-Icon_903
#N/A,準速,#N/A,ダグトリオ,,#N/A,0,#N/A,,,,,X,31,252,1,#N/A
172,準速,120,ウミトリオ,,1OLm_FTM9YuRvvwwgRZfleerCYRUto0nz,0,O,O,O,O,X,X,31,252,1,Pokémon-Icon_961
172,最速,105,ドレディア(ヒスイのすがた),,1xdOxIqCk6bYRW9JmeW3V7OlVzaLflDh9,0,O,X,X,X,X,X,31,252,1.1,Pokémon-Icon_549a
172,最速,105,ザルード,,1mr5HGpv5tEF1r347X3ZsK-cea2HxApiR,0,X,X,X,X,X,X,31,252,1.1,Pokémon-Icon_893
172,最速,105,パーモット,,1kpim1LEuN15rojtAnpf7h8YFl9Qr8d5v,0,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_923
172,最速,105,ムウマージ,,1yE5pCDgsL2Fh5Zpbc1-PnMvuIjpUURV5,0,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_429
#N/A,最速,#N/A,ゾロアーク,,#N/A,0,#N/A,,,,,X,31,252,1.1,#N/A
172,最速,105,ストライク,,1qKByjB3JqScTL-X0fQOieLsJNCqAkXK0,0,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_123
172,最速,105,クエスパトラ,,1C-GogL4iEqoJVcoH6ej3oiw1LaVcNOmW,0,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_956
172,最速,105,フリージオ,,1o-CjL9UhXxF0gqs-34axxaKOI-76yJ4J,0,O,O,O,O,X,X,31,252,1.1,Pokémon-Icon_615
172,無振り,66,サシカマス,すいすい,1Uv3wrw8AZHu9KwOa_bnkjIlvMSBEyZjl,2,O,O,O,O,X,X,31,0,1,Pokémon-Icon_846
172,無振り,66,ケイコウオ,すいすい,1QkM84cxaQ-K5vkaFgoCe3k8TO6m5Q9Mr,2,O,O,O,O,X,X,31,0,1,Pokémon-Icon_456
