ID,英語,日本語
834,Mewnium Z,ミュウＺ
835,Pikashunium Z,サトピカＺ
836,Pikashunium Z,サトピカＺ
837,???,？？？
838,???,？？？
839,???,？？？
840,???,？？？
841,Forage Bag,ざいりょうぶくろ
842,Fishing Rod,つりざお
843,Professor’s Mask,はかせのふくめん
844,Festival Ticket,フェスチケット
845,Sparkling Stone,かがやくいし
846,Adrenaline Orb,ビビリだま
847,Zygarde Cube,ジガルデキューブ
848,???,？？？
849,Ice Stone,こおりのいし
850,Ride Pager,ライドギア
851,Beast Ball,ウルトラボール
852,Big Malasada,おおきいマラサダ
853,Red Nectar,くれないのミツ
854,Yellow Nectar,やまぶきのミツ
855,Pink Nectar,うすもものミツ
856,Purple Nectar,むらさきのミツ
857,Sun Flute,たいようのふえ
858,Moon Flute,つきのふえ
859,???,？？？
860,Enigmatic Card,あやしいカード
861,Silver Razz Berry,ぎんのズリのみ
862,Golden Razz Berry,きんのズリのみ
863,Silver Nanab Berry,ぎんのナナのみ
864,Golden Nanab Berry,きんのナナのみ
865,Silver Pinap Berry,ぎんのパイルのみ
866,Golden Pinap Berry,きんのパイルのみ
867,???,？？？
868,???,？？？
869,???,？？？
870,???,？？？
871,???,？？？
872,Secret Key,ひみつのカギ
873,S.S. Ticket,ふねのチケット
874,Silph Scope,シルフスコープ
875,Parcel,おとどけもの
876,Card Key,カードキー
877,Gold Teeth,きんのいれば
878,Lift Key,エレベータのカギ
879,Terrain Extender,グランドコート
880,Protective Pads,ぼうごパット
881,Electric Seed,エレキシード
882,Psychic Seed,サイコシード
883,Misty Seed,ミストシード
884,Grassy Seed,グラスシード
885,Stretchy Spring,のびたバネ
886,Chalky Stone,チョークいし
887,Marble,ビーだま
888,Lone Earring,かたっぽピアス
889,Beach Glass,うみべのガラス
890,Gold Leaf,きんのはっぱ
891,Silver Leaf,ぎんのはっぱ
892,Polished Mud Ball,ピカピカだんご
893,Tropical Shell,なんごくかいがら
894,Leaf Letter,このはのおてがみ
895,Leaf Letter,このはのおてがみ
896,Small Bouquet,ちいさなはなたば
897,???,？？？
898,???,？？？
899,???,？？？
900,Lure,むしよせコロン
901,Super Lure,シルバーコロン
902,Max Lure,ゴールドコロン
903,Pewter Crunchies,ニビあられ
904,Fighting Memory,ファイトメモリ
905,Flying Memory,フライングメモリ
906,Poison Memory,ポイズンメモリ
907,Ground Memory,グラウンドメモリ
908,Rock Memory,ロックメモリ
909,Bug Memory,バグメモリ
910,Ghost Memory,ゴーストメモリ
911,Steel Memory,スチールメモリ
912,Fire Memory,ファイヤーメモリ
913,Water Memory,ウオーターメモリ
914,Grass Memory,グラスメモリ
915,Electric Memory,エレクトロメモリ
916,Psychic Memory,サイキックメモリ
917,Ice Memory,アイスメモリ
918,Dragon Memory,ドラゴンメモリ
919,Dark Memory,ダークメモリ
920,Fairy Memory,フェアリーメモリ
921,Solganium Z,ソルガレオＺ
922,Lunalium Z,ルナアーラＺ
923,Ultranecrozium Z,ウルトラネクロＺ
924,Mimikium Z,ミミッキュＺ
925,Lycanium Z,ルガルガンＺ
926,Kommonium Z,ジャラランガＺ
927,Solganium Z,ソルガレオＺ
928,Lunalium Z,ルナアーラＺ
929,Ultranecrozium Z,ウルトラネクロＺ
930,Mimikium Z,ミミッキュＺ
931,Lycanium Z,ルガルガンＺ
932,Kommonium Z,ジャラランガＺ
933,Z-Power Ring,Ｚパワーリング
934,Pink Petal,ももいろはなびら
935,Orange Petal,だいだいはなびら
936,Blue Petal,あおのはなびら
937,Red Petal,あかのはなびら
938,Green Petal,みどりのはなびら
939,Yellow Petal,きいろのはなびら
940,Purple Petal,むらさきはなびら
941,Rainbow Flower,にじいろのはな
942,Surge Badge,だいだいバッジ
943,N-Solarizer,ネクロプラスソル
944,N-Lunarizer,ネクロプラスルナ
945,N-Solarizer,ネクロプラスソル
946,N-Lunarizer,ネクロプラスルナ
947,Ilima’s Normalium Z,イリマノーマルＺ
948,Left Poké Ball,のこされたボール
949,Roto Hatch,タマゴふかポン
950,Roto Bargain,やすうりポン
951,Roto Prize Money,おこづかいポン
952,Roto Exp. Points,けいけんポン
953,Roto Friendship,なつきポン
954,Roto Encounter,みっけポン
955,Roto Stealth,かくれポン
956,Roto HP Restore,ＨＰかいふくポン
957,Roto PP Restore,ＰＰかいふくポン
958,Roto Boost,おうえんポン
959,Roto Catch,つかまえポン
960,Health Candy,げんきのアメ
961,Mighty Candy,ちからのアメ
962,Tough Candy,まもりのアメ
963,Smart Candy,ちしきのアメ
964,Courage Candy,こころのアメ
965,Quick Candy,はやさのアメ
966,Health Candy L,げんきのアメＬ
967,Mighty Candy L,ちからのアメＬ
968,Tough Candy L,まもりのアメＬ
969,Smart Candy L,ちしきのアメＬ
970,Courage Candy L,こころのアメＬ
971,Quick Candy L,はやさのアメＬ
972,Health Candy XL,げんきのアメＸＬ
973,Mighty Candy XL,ちからのアメＸＬ
974,Tough Candy XL,まもりのアメＸＬ
975,Smart Candy XL,ちしきのアメＸＬ
976,Courage Candy XL,こころのアメＸＬ
977,Quick Candy XL,はやさのアメＸＬ
978,Bulbasaur Candy,フシギダネのアメ
979,Charmander Candy,ヒトカゲのアメ
980,Squirtle Candy,ゼニガメのアメ
981,Caterpie Candy,キャタピーのアメ
982,Weedle Candy,ビードルのアメ
983,Pidgey Candy,ポッポのアメ
984,Rattata Candy,コラッタのアメ
985,Spearow Candy,オニスズメのアメ
986,Ekans Candy,アーボのアメ
987,Pikachu Candy,ピカチュウのアメ
988,Sandshrew Candy,サンドのアメ
989,Nidoran♀ Candy,ニドラン♀のアメ
990,Nidoran♂ Candy,ニドラン♂のアメ
991,Clefairy Candy,ピッピのアメ
992,Vulpix Candy,ロコンのアメ
993,Jigglypuff Candy,プリンのアメ
994,Zubat Candy,ズバットのアメ
995,Oddish Candy,ナゾノクサのアメ
996,Paras Candy,パラスのアメ
997,Venonat Candy,コンパンのアメ
998,Diglett Candy,ディグダのアメ
999,Meowth Candy,ニャースのアメ
1000,Psyduck Candy,コダックのアメ
1001,Mankey Candy,マンキーのアメ
1002,Growlithe Candy,ガーディのアメ
1003,Poliwag Candy,ニョロモのアメ
1004,Abra Candy,ケーシィのアメ
1005,Machop Candy,ワンリキーのアメ
1006,Bellsprout Candy,マダツボミのアメ
1007,Tentacool Candy,メノクラゲのアメ
1008,Geodude Candy,イシツブテのアメ
1009,Ponyta Candy,ポニータのアメ
1010,Slowpoke Candy,ヤドンのアメ
1011,Magnemite Candy,コイルのアメ
1012,Farfetch’d Candy,カモネギのアメ
1013,Doduo Candy,ドードーのアメ
1014,Seel Candy,パウワウのアメ
1015,Grimer Candy,ベトベターのアメ
1016,Shellder Candy,シェルダーのアメ
1017,Gastly Candy,ゴースのアメ
1018,Onix Candy,イワークのアメ
1019,Drowzee Candy,スリープのアメ
1020,Krabby Candy,クラブのアメ
1021,Voltorb Candy,ビリリダマのアメ
1022,Exeggcute Candy,タマタマのアメ
1023,Cubone Candy,カラカラのアメ
1024,Hitmonlee Candy,サワムラーのアメ
1025,Hitmonchan Candy,エビワラーのアメ
1026,Lickitung Candy,ベロリンガのアメ
1027,Koffing Candy,ドガースのアメ
1028,Rhyhorn Candy,サイホーンのアメ
1029,Chansey Candy,ラッキーのアメ
1030,Tangela Candy,モンジャラのアメ
1031,Kangaskhan Candy,ガルーラのアメ
1032,Horsea Candy,タッツーのアメ
1033,Goldeen Candy,トサキントのアメ
1034,Staryu Candy,ヒトデマンのアメ
1035,Mr. Mime Candy,バリヤードのアメ
1036,Scyther Candy,ストライクのアメ
1037,Jynx Candy,ルージュラのアメ
1038,Electabuzz Candy,エレブーのアメ
1039,Pinsir Candy,カイロスのアメ
1040,Tauros Candy,ケンタロスのアメ
1041,Magikarp Candy,コイキングのアメ
1042,Lapras Candy,ラプラスのアメ
1043,Ditto Candy,メタモンのアメ
1044,Eevee Candy,イーブイのアメ
1045,Porygon Candy,ポリゴンのアメ
1046,Omanyte Candy,オムナイトのアメ
1047,Kabuto Candy,カブトのアメ
1048,Aerodactyl Candy,プテラのアメ
1049,Snorlax Candy,カビゴンのアメ
1050,Articuno Candy,フリーザーのアメ
1051,Zapdos Candy,サンダーのアメ
1052,Moltres Candy,ファイヤーのアメ
1053,Dratini Candy,ミニリュウのアメ
1054,Mewtwo Candy,ミュウツーのアメ
1055,Mew Candy,ミュウのアメ
1056,Meltan Candy,メルタンのアメ
1057,Magmar Candy,ブーバーのアメ
1058,???,？？？
1059,???,？？？
1060,???,？？？
1061,???,？？？
1062,???,？？？
1063,???,？？？
1064,???,？？？
1065,???,？？？
1066,???,？？？
1067,???,？？？
1068,???,？？？
1069,???,？？？
1070,???,？？？
1071,???,？？？
1072,???,？？？
1073,???,？？？
1074,Endorsement,すいせんじょう
1075,Pokémon Box Link,ポケモンボックス
1076,Wishing Star,ねがいぼし
1077,Dynamax Band,ダイマックスＢ
1078,???,？？？
1079,???,？？？
1080,Fishing Rod,つりざお
1081,Rotom Bike,ロトムじてんしゃ
1082,???,？？？
1083,???,？？？
1084,Sausages,あらびきヴルスト
1085,Bob’s Food Tin,ボブのかんづめ
1086,Bach’s Food Tin,バックのかんづめ
1087,Tin of Beans,マメかん
1088,Bread,しょくパン
1089,Pasta,パスタ
1090,Mixed Mushrooms,キノコパック
1091,Smoke-Poke Tail,しっぽのくんせい
1092,Large Leek,ふといながねぎ
1093,Fancy Apple,とくせんリンゴ
1094,Brittle Bones,かぼそいホネ
1095,Pack of Potatoes,ポテトパック
1096,Pungent Root,みずべのハーブ
1097,Salad Mix,やさいパック
1098,Fried Food,フライもりあわせ
1099,Boiled Egg,ゆでタマゴ
1100,Camping Gear,キャンプセット
1101,???,？？？
1102,???,？？？
1103,Rusted Sword,くちたけん
1104,Rusted Shield,くちたたて
1105,Fossilized Bird,カセキのトリ
1106,Fossilized Fish,カセキのサカナ
1107,Fossilized Drake,カセキのリュウ
1108,Fossilized Dino,カセキのクビナガ
1109,Strawberry Sweet,いちごアメざいく
1110,Love Sweet,ハートアメざいく
1111,Berry Sweet,ベリーアメざいく
1112,Clover Sweet,よつばアメざいく
1113,Flower Sweet,おはなアメざいく
1114,Star Sweet,スターアメざいく
1115,Ribbon Sweet,リボンアメざいく
1116,Sweet Apple,あまーいりんご
1117,Tart Apple,すっぱいりんご
1118,Throat Spray,のどスプレー
1119,Eject Pack,だっしゅつパック
1120,Heavy-Duty Boots,あつぞこブーツ
1121,Blunder Policy,からぶりほけん
1122,Room Service,ルームサービス
1123,Utility Umbrella,ばんのうがさ
1124,Exp. Candy XS,けいけんアメＸＳ
1125,Exp. Candy S,けいけんアメＳ
1126,Exp. Candy M,けいけんアメＭ
1127,Exp. Candy L,けいけんアメＬ
1128,Exp. Candy XL,けいけんアメＸＬ
1129,Dynamax Candy,ダイマックスアメ
1130,TR00,わざレコード００
1131,TR01,わざレコード０１
1132,TR02,わざレコード０２
1133,TR03,わざレコード０３
1134,TR04,わざレコード０４
1135,TR05,わざレコード０５
1136,TR06,わざレコード０６
1137,TR07,わざレコード０７
1138,TR08,わざレコード０８
1139,TR09,わざレコード０９
1140,TR10,わざレコード１０
1141,TR11,わざレコード１１
1142,TR12,わざレコード１２
1143,TR13,わざレコード１３
1144,TR14,わざレコード１４
1145,TR15,わざレコード１５
1146,TR16,わざレコード１６
1147,TR17,わざレコード１７
1148,TR18,わざレコード１８
1149,TR19,わざレコード１９
1150,TR20,わざレコード２０
1151,TR21,わざレコード２１
1152,TR22,わざレコード２２
1153,TR23,わざレコード２３
1154,TR24,わざレコード２４
1155,TR25,わざレコード２５
1156,TR26,わざレコード２６
1157,TR27,わざレコード２７
1158,TR28,わざレコード２８
1159,TR29,わざレコード２９
1160,TR30,わざレコード３０
1161,TR31,わざレコード３１
1162,TR32,わざレコード３２
1163,TR33,わざレコード３３
1164,TR34,わざレコード３４
1165,TR35,わざレコード３５
1166,TR36,わざレコード３６
1167,TR37,わざレコード３７
1168,TR38,わざレコード３８
1169,TR39,わざレコード３９
1170,TR40,わざレコード４０
1171,TR41,わざレコード４１
1172,TR42,わざレコード４２
1173,TR43,わざレコード４３
1174,TR44,わざレコード４４
1175,TR45,わざレコード４５
1176,TR46,わざレコード４６
1177,TR47,わざレコード４７
1178,TR48,わざレコード４８
1179,TR49,わざレコード４９
1180,TR50,わざレコード５０
1181,TR51,わざレコード５１
1182,TR52,わざレコード５２
1183,TR53,わざレコード５３
1184,TR54,わざレコード５４
1185,TR55,わざレコード５５
1186,TR56,わざレコード５６
1187,TR57,わざレコード５７
1188,TR58,わざレコード５８
1189,TR59,わざレコード５９
1190,TR60,わざレコード６０
1191,TR61,わざレコード６１
1192,TR62,わざレコード６２
1193,TR63,わざレコード６３
1194,TR64,わざレコード６４
1195,TR65,わざレコード６５
1196,TR66,わざレコード６６
1197,TR67,わざレコード６７
1198,TR68,わざレコード６８
1199,TR69,わざレコード６９
1200,TR70,わざレコード７０
1201,TR71,わざレコード７１
1202,TR72,わざレコード７２
1203,TR73,わざレコード７３
1204,TR74,わざレコード７４
1205,TR75,わざレコード７５
1206,TR76,わざレコード７６
1207,TR77,わざレコード７７
1208,TR78,わざレコード７８
1209,TR79,わざレコード７９
1210,TR80,わざレコード８０
1211,TR81,わざレコード８１
1212,TR82,わざレコード８２
1213,TR83,わざレコード８３
1214,TR84,わざレコード８４
1215,TR85,わざレコード８５
1216,TR86,わざレコード８６
1217,TR87,わざレコード８７
1218,TR88,わざレコード８８
1219,TR89,わざレコード８９
1220,TR90,わざレコード９０
1221,TR91,わざレコード９１
1222,TR92,わざレコード９２
1223,TR93,わざレコード９３
1224,TR94,わざレコード９４
1225,TR95,わざレコード９５
1226,TR96,わざレコード９６
1227,TR97,わざレコード９７
1228,TR98,わざレコード９８
1229,TR99,わざレコード９９
1230,TM00,わざマシン００
1231,Lonely Mint,さみしがりミント
1232,Adamant Mint,いじっぱりミント
1233,Naughty Mint,やんちゃミント
1234,Brave Mint,ゆうかんミント
1235,Bold Mint,ずぶといミント
1236,Impish Mint,わんぱくミント
1237,Lax Mint,のうてんきミント
1238,Relaxed Mint,のんきミント
1239,Modest Mint,ひかえめミント
1240,Mild Mint,おっとりミント
1241,Rash Mint,うっかりやミント
1242,Quiet Mint,れいせいミント
1243,Calm Mint,おだやかミント
1244,Gentle Mint,おとなしいミント
1245,Careful Mint,しんちょうミント
1246,Sassy Mint,なまいきミント
1247,Timid Mint,おくびょうミント
1248,Hasty Mint,せっかちミント
1249,Jolly Mint,ようきミント
1250,Naive Mint,むじゃきミント
1251,Serious Mint,まじめミント
1252,Wishing Piece,ねがいのかたまり
1253,Cracked Pot,われたポット
1254,Chipped Pot,かけたポット
1255,Hi-tech Earbuds,すごいみみせん
1256,Fruit Bunch,フサパック
1257,Moomoo Cheese,モーモーチーズ
1258,Spice Mix,スパイスセット
1259,Fresh Cream,しんせんクリーム
1260,Packaged Curry,レトルトカレー
1261,Coconut Milk,ヤシのミルク
1262,Instant Noodles,レトルトめん
1263,Precooked Burger,レトルトバーグ
1264,Gigantamix,キョダイパウダー
1265,Wishing Chip,ねがいのかけら
1266,Rotom Bike,ロトムじてんしゃ
1267,Catching Charm,ゆれないおまもり
1268,???,？？？
1269,Old Letter,ふるびたてがみ
1270,Band Autograph,バンドのサイン
1271,Sonia’s Book,ソニアのほん
1272,???,？？？
1273,???,？？？
1274,???,？？？
1275,???,？？？
1276,???,？？？
1277,???,？？？
1278,Rotom Catalog,ロトムのカタログ
1279,★And458,★And458
1280,★And15,★And15
1281,★And337,★And337
1282,★And603,★And603
1283,★And390,★And390
1284,★Sgr6879,★Sgr6879
1285,★Sgr6859,★Sgr6859
1286,★Sgr6913,★Sgr6913
1287,★Sgr7348,★Sgr7348
1288,★Sgr7121,★Sgr7121
1289,★Sgr6746,★Sgr6746
1290,★Sgr7194,★Sgr7194
1291,★Sgr7337,★Sgr7337
1292,★Sgr7343,★Sgr7343
1293,★Sgr6812,★Sgr6812
1294,★Sgr7116,★Sgr7116
1295,★Sgr7264,★Sgr7264
1296,★Sgr7597,★Sgr7597
1297,★Del7882,★Del7882
1298,★Del7906,★Del7906
1299,★Del7852,★Del7852
1300,★Psc596,★Psc596
1301,★Psc361,★Psc361
1302,★Psc510,★Psc510
1303,★Psc437,★Psc437
1304,★Psc8773,★Psc8773
1305,★Lep1865,★Lep1865
1306,★Lep1829,★Lep1829
1307,★Boo5340,★Boo5340
1308,★Boo5506,★Boo5506
1309,★Boo5435,★Boo5435
1310,★Boo5602,★Boo5602
1311,★Boo5733,★Boo5733
1312,★Boo5235,★Boo5235
1313,★Boo5351,★Boo5351
1314,★Hya3748,★Hya3748
1315,★Hya3903,★Hya3903
1316,★Hya3418,★Hya3418
1317,★Hya3482,★Hya3482
1318,★Hya3845,★Hya3845
1319,★Eri1084,★Eri1084
1320,★Eri472,★Eri472
1321,★Eri1666,★Eri1666
1322,★Eri897,★Eri897
1323,★Eri1231,★Eri1231
1324,★Eri874,★Eri874
1325,★Eri1298,★Eri1298
1326,★Eri1325,★Eri1325
1327,★Eri984,★Eri984
1328,★Eri1464,★Eri1464
1329,★Eri1393,★Eri1393
1330,★Eri850,★Eri850
1331,★Tau1409,★Tau1409
1332,★Tau1457,★Tau1457
1333,★Tau1165,★Tau1165
1334,★Tau1791,★Tau1791
1335,★Tau1910,★Tau1910
1336,★Tau1346,★Tau1346
1337,★Tau1373,★Tau1373
1338,★Tau1412,★Tau1412
1339,★CMa2491,★CMa2491
1340,★CMa2693,★CMa2693
1341,★CMa2294,★CMa2294
1342,★CMa2827,★CMa2827
1343,★CMa2282,★CMa2282
1344,★CMa2618,★CMa2618
1345,★CMa2657,★CMa2657
1346,★CMa2646,★CMa2646
1347,★UMa4905,★UMa4905
1348,★UMa4301,★UMa4301
1349,★UMa5191,★UMa5191
1350,★UMa5054,★UMa5054
1351,★UMa4295,★UMa4295
1352,★UMa4660,★UMa4660
1353,★UMa4554,★UMa4554
1354,★UMa4069,★UMa4069
1355,★UMa3569,★UMa3569
1356,★UMa3323,★UMa3323
1357,★UMa4033,★UMa4033
1358,★UMa4377,★UMa4377
1359,★UMa4375,★UMa4375
1360,★UMa4518,★UMa4518
1361,★UMa3594,★UMa3594
1362,★Vir5056,★Vir5056
1363,★Vir4825,★Vir4825
1364,★Vir4932,★Vir4932
1365,★Vir4540,★Vir4540
1366,★Vir4689,★Vir4689
1367,★Vir5338,★Vir5338
1368,★Vir4910,★Vir4910
1369,★Vir5315,★Vir5315
1370,★Vir5359,★Vir5359
1371,★Vir5409,★Vir5409
1372,★Vir5107,★Vir5107
1373,★Ari617,★Ari617
1374,★Ari553,★Ari553
1375,★Ari546,★Ari546
1376,★Ari951,★Ari951
1377,★Ori1713,★Ori1713
1378,★Ori2061,★Ori2061
1379,★Ori1790,★Ori1790
1380,★Ori1903,★Ori1903
1381,★Ori1948,★Ori1948
1382,★Ori2004,★Ori2004
1383,★Ori1852,★Ori1852
1384,★Ori1879,★Ori1879
1385,★Ori1899,★Ori1899
1386,★Ori1543,★Ori1543
1387,★Cas21,★Cas21
1388,★Cas168,★Cas168
1389,★Cas403,★Cas403
1390,★Cas153,★Cas153
1391,★Cas542,★Cas542
1392,★Cas219,★Cas219
1393,★Cas265,★Cas265
1394,★Cnc3572,★Cnc3572
1395,★Cnc3208,★Cnc3208
1396,★Cnc3461,★Cnc3461
1397,★Cnc3449,★Cnc3449
1398,★Cnc3429,★Cnc3429
1399,★Cnc3627,★Cnc3627
1400,★Cnc3268,★Cnc3268
1401,★Cnc3249,★Cnc3249
1402,★Com4968,★Com4968
1403,★Crv4757,★Crv4757
1404,★Crv4623,★Crv4623
1405,★Crv4662,★Crv4662
1406,★Crv4786,★Crv4786
1407,★Aur1708,★Aur1708
1408,★Aur2088,★Aur2088
1409,★Aur1605,★Aur1605
1410,★Aur2095,★Aur2095
1411,★Aur1577,★Aur1577
1412,★Aur1641,★Aur1641
1413,★Aur1612,★Aur1612
1414,★Pav7790,★Pav7790
1415,★Cet911,★Cet911
1416,★Cet681,★Cet681
1417,★Cet188,★Cet188
1418,★Cet539,★Cet539
1419,★Cet804,★Cet804
1420,★Cep8974,★Cep8974
1421,★Cep8162,★Cep8162
1422,★Cep8238,★Cep8238
1423,★Cep8417,★Cep8417
1424,★Cen5267,★Cen5267
1425,★Cen5288,★Cen5288
1426,★Cen551,★Cen551
1427,★Cen5459,★Cen5459
1428,★Cen5460,★Cen5460
1429,★CMi2943,★CMi2943
1430,★CMi2845,★CMi2845
1431,★Equ8131,★Equ8131
1432,★Vul7405,★Vul7405
1433,★UMi424,★UMi424
1434,★UMi5563,★UMi5563
1435,★UMi5735,★UMi5735
1436,★UMi6789,★UMi6789
1437,★Crt4287,★Crt4287
1438,★Lyr7001,★Lyr7001
1439,★Lyr7178,★Lyr7178
1440,★Lyr7106,★Lyr7106
1441,★Lyr7298,★Lyr7298
1442,★Ara6585,★Ara6585
1443,★Sco6134,★Sco6134
1444,★Sco6527,★Sco6527
1445,★Sco6553,★Sco6553
1446,★Sco5953,★Sco5953
1447,★Sco5984,★Sco5984
1448,★Sco6508,★Sco6508
1449,★Sco6084,★Sco6084
1450,★Sco5944,★Sco5944
1451,★Sco6630,★Sco6630
1452,★Sco6027,★Sco6027
1453,★Sco6247,★Sco6247
1454,★Sco6252,★Sco6252
1455,★Sco5928,★Sco5928
1456,★Sco6241,★Sco6241
1457,★Sco6165,★Sco6165
1458,★Tri544,★Tri544
1459,★Leo3982,★Leo3982
1460,★Leo4534,★Leo4534
1461,★Leo4357,★Leo4357
1462,★Leo4057,★Leo4057
1463,★Leo4359,★Leo4359
1464,★Leo4031,★Leo4031
1465,★Leo3852,★Leo3852
1466,★Leo3905,★Leo3905
1467,★Leo3773,★Leo3773
1468,★Gru8425,★Gru8425
1469,★Gru8636,★Gru8636
1470,★Gru8353,★Gru8353
1471,★Lib5685,★Lib5685
1472,★Lib5531,★Lib5531
1473,★Lib5787,★Lib5787
1474,★Lib5603,★Lib5603
1475,★Pup3165,★Pup3165
1476,★Pup3185,★Pup3185
1477,★Pup3045,★Pup3045
1478,★Cyg7924,★Cyg7924
1479,★Cyg7417,★Cyg7417
1480,★Cyg7796,★Cyg7796
1481,★Cyg8301,★Cyg8301
1482,★Cyg7949,★Cyg7949
1483,★Cyg7528,★Cyg7528
1484,★Oct7228,★Oct7228
1485,★Col1956,★Col1956
1486,★Col2040,★Col2040
1487,★Col2177,★Col2177
1488,★Gem2990,★Gem2990
1489,★Gem2891,★Gem2891
1490,★Gem2421,★Gem2421
1491,★Gem2473,★Gem2473
1492,★Gem2216,★Gem2216
1493,★Gem2777,★Gem2777
1494,★Gem2650,★Gem2650
1495,★Gem2286,★Gem2286
1496,★Gem2484,★Gem2484
1497,★Gem2930,★Gem2930
1498,★Peg8775,★Peg8775
1499,★Peg8781,★Peg8781
1500,★Peg39,★Peg39
1501,★Peg8308,★Peg8308
1502,★Peg8650,★Peg8650
1503,★Peg8634,★Peg8634
1504,★Peg8684,★Peg8684
1505,★Peg8450,★Peg8450
1506,★Peg8880,★Peg8880
1507,★Peg8905,★Peg8905
1508,★Oph6556,★Oph6556
1509,★Oph6378,★Oph6378
1510,★Oph6603,★Oph6603
1511,★Oph6149,★Oph6149
1512,★Oph6056,★Oph6056
1513,★Oph6075,★Oph6075
1514,★Ser5854,★Ser5854
1515,★Ser7141,★Ser7141
1516,★Ser5879,★Ser5879
1517,★Her6406,★Her6406
1518,★Her6148,★Her6148
1519,★Her6410,★Her6410
1520,★Her6526,★Her6526
1521,★Her6117,★Her6117
1522,★Her6008,★Her6008
1523,★Per936,★Per936
1524,★Per1017,★Per1017
1525,★Per1131,★Per1131
1526,★Per1228,★Per1228
1527,★Per834,★Per834
1528,★Per941,★Per941
1529,★Phe99,★Phe99
1530,★Phe338,★Phe338
1531,★Vel3634,★Vel3634
1532,★Vel3485,★Vel3485
1533,★Vel3734,★Vel3734
1534,★Aqr8232,★Aqr8232
1535,★Aqr8414,★Aqr8414
1536,★Aqr8709,★Aqr8709
1537,★Aqr8518,★Aqr8518
1538,★Aqr7950,★Aqr7950
1539,★Aqr8499,★Aqr8499
1540,★Aqr8610,★Aqr8610
1541,★Aqr8264,★Aqr8264
1542,★Cru4853,★Cru4853
1543,★Cru4730,★Cru4730
1544,★Cru4763,★Cru4763
1545,★Cru4700,★Cru4700
1546,★Cru4656,★Cru4656
1547,★PsA8728,★PsA8728
1548,★TrA6217,★TrA6217
1549,★Cap7776,★Cap7776
1550,★Cap7754,★Cap7754
1551,★Cap8278,★Cap8278
1552,★Cap8322,★Cap8322
1553,★Cap7773,★Cap7773
1554,★Sge7479,★Sge7479
1555,★Car2326,★Car2326
1556,★Car3685,★Car3685
1557,★Car3307,★Car3307
1558,★Car3699,★Car3699
1559,★Dra5744,★Dra5744
1560,★Dra5291,★Dra5291
1561,★Dra6705,★Dra6705
1562,★Dra6536,★Dra6536
1563,★Dra7310,★Dra7310
1564,★Dra6688,★Dra6688
1565,★Dra4434,★Dra4434
1566,★Dra6370,★Dra6370
1567,★Dra7462,★Dra7462
1568,★Dra6396,★Dra6396
1569,★Dra6132,★Dra6132
1570,★Dra6636,★Dra6636
1571,★CVn4915,★CVn4915
1572,★CVn4785,★CVn4785
1573,★CVn4846,★CVn4846
1574,★Aql7595,★Aql7595
1575,★Aql7557,★Aql7557
1576,★Aql7525,★Aql7525
1577,★Aql7602,★Aql7602
1578,★Aql7235,★Aql7235
1579,Max Honey,ダイミツ
1580,Max Mushrooms,ダイキノコ
1581,Galarica Twig,ガラナツのえだ
1582,Galarica Cuff,ガラナツブレス
1583,Style Card,おしゃれカード
1584,Armor Pass,ヨロイパス
1585,Rotom Bike,ロトムじてんしゃ
1586,Rotom Bike,ロトムじてんしゃ
1587,Exp. Charm,けいけんおまもり
1588,Armorite Ore,ヨロイこうせき
1589,Mark Charm,あかしのおまもり
1590,Reins of Unity,キズナのタヅナ
1591,Reins of Unity,キズナのタヅナ
1592,Galarica Wreath,ガラナツリース
1593,Legendary Clue 1,でんせつのメモ１
1594,Legendary Clue 2,でんせつのメモ２
1595,Legendary Clue 3,でんせつのメモ３
1596,Legendary Clue?,でんせつのメモ？
1597,Crown Pass,カンムリパス
1598,Wooden Crown,きぼりのかんむり
1599,Radiant Petal,かがやくはなびら
1600,White Mane Hair,しろいたてがみ
1601,Black Mane Hair,くろいたてがみ
1602,Iceroot Carrot,つめたいにんじん
1603,Shaderoot Carrot,くろいにんじん
1604,Dynite Ore,マックスこうせき
1605,Carrot Seeds,にんじんのタネ
1606,Ability Patch,とくせいパッチ
1607,Reins of Unity,キズナのタヅナ
1608,Time Balm,ときのシズメダマ
1609,Space Balm,そらのシズメダマ
1610,Mysterious Balm,しずめだま
1611,Linking Cord,つながりのヒモ
1612,Hometown Muffin,ふるさとマフィン
1613,Apricorn,ぼんぐりのみ
1614,Jubilife Muffin,コトブキマフィン
1615,Aux Powerguard,ビルドアッパー
1616,Dire Hit,クリティカッター
1617,Choice Dumpling,こだわりちまき
1618,Twice-Spiced Radish,にばいづけ
1619,Swap Snack,あべこべやき
1620,Caster Fern,まるいはっぱ
1621,Seed of Mastery,たくみのえまき
1622,Poké Ball,モンスターボール
1623,???,ススキのおとしもの
1624,Eternal Ice,こだいのこおり
1625,Uxie’s Claw,ユクシーのつめ
1626,Azelf’s Fang,アグノムのきば
1627,Mesprit’s Plume,エムリットのはね
1628,Tumblestone,たまいし
1629,Celestica Flute,カミナギのふえ
1630,Remedy,カンポーやく
1631,Fine Remedy,いいカンポーやく
1632,Dazzling Honey,きらきらミツ
1633,Hearty Grains,いきいきイナホ
1634,Plump Beans,ころころマメ
1635,Springy Mushroom,もちもちキノコ
1636,Crunchy Salt,ごりごりミネラル
1637,Wood,もくざい
